dataset,window_size,score_threshold,original_precision_mean,original_recall_mean,original_f1_score_mean,original_accuracy_mean,original_n_runs,unseen_precision_mean,unseen_recall_mean,unseen_f1_score_mean,unseen_accuracy_mean,unseen_n_runs
BATADAL,4,4.2,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.9365853658536587,5,0.14285714285714285,1.0,0.25,0.625,5
BATADAL,4,3.912,0.1282051282051282,0.7142857142857143,0.21739130434782608,0.8243902439024391,5,0.125,1.0,0.22222222222222224,0.5625,5
BATADAL,4,3.5066,0.06944444444444445,0.7142857142857143,0.12658227848101267,0.6634146341463415,5,0.08333333333333333,1.0,0.15384615384615385,0.3125,5
