dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,3,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.5108,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.6931,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,1.6094,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.2436363636363636,0.0,0.0049261083743842365,0.0,0.14285714285714285,0.0,0.009523809523809525,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.3026,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.5054545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.9957,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.8218181818181819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,3.5066,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.9163636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,3.912,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,4.2,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.9672727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,5,0.0,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.001,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.005,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.01,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.05,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.1054,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.2231,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.3567,3,0.1,avg_negative_log,5,,False,[3],,mean,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
