dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.38722197475682535,0.05114981018086608,0.3714204620629333,0.023412570732180425,1.0,0.0,0.5412594198941715,0.024323205225345937,0.02310945304285338,732.2,1149.0
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.4715139274388994,0.1925462367243507,0.39144561687536394,0.1267555165843096,0.8636591478696742,0.27830459901295923,0.5378541745662647,0.17252498165017158,0.04869467174957779,458.8,795.0
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.001,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.005,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,5,0.01,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3637446768609228,0.004439471593408097,0.3616007027570279,0.004471793359672205,1.0,0.0,0.5311253644740073,0.004830306816537822,0.02310945304285338,732.2,1149.0
SKAB,4,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.001,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.005,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.01,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.3600996786167888,0.00296428099163478,0.35837977483767847,0.002959466742109607,1.0,0.0,0.5276509886817243,0.0032095092922911866,0.04869467174957779,458.8,795.0
SKAB,4,0.2231,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.591638580384755,0.15165447668677684,0.4950037192422979,0.19714914461705668,0.609001977904153,0.3145307551983746,0.495810873371849,0.18267969551541002,0.04869467174957779,458.8,795.0
SKAB,4,0.3567,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.5935953851415302,0.15029463205529872,0.49485682549179005,0.19988364896090388,0.5945018219796709,0.31629819889662153,0.48960422166882117,0.18732593168235373,0.04869467174957779,458.8,795.0
SKAB,4,0.1054,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.544797054979095,0.14575092034643466,0.39567795714159554,0.15322942506135928,0.6229946399851566,0.3133210363809753,0.4769868543000662,0.20208706420127967,0.04869467174957779,458.8,795.0
SKAB,4,0.5108,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.5984061422351367,0.1462884967132331,0.496983551476113,0.20495290465261815,0.5630164479572773,0.3146320238133716,0.47668935631162834,0.19380255110735414,0.04869467174957779,458.8,795.0
SKAB,4,0.6931,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.6019580197380712,0.14862357957943936,0.499373117637301,0.22547817852138483,0.5219935423103856,0.3166993605068576,0.4578242876670886,0.2094918095137308,0.04869467174957779,458.8,795.0
SKAB,3,0.1054,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.5319526280968073,0.18981361131843416,0.348238781373638,0.1709219823157333,0.6796136598988072,0.24367862926950234,0.4521553941141066,0.18861477468069174,0.09359674637187985,267.8,488.0
SKAB,4,0.9163,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.611147594651402,0.14017810828625815,0.506236459460368,0.23589498574851175,0.4669817152775115,0.29326782413580166,0.4355141583527679,0.21616714424059522,0.04869467174957779,458.8,795.0
SKAB,3,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.2696540445640332,0.002278689299989098,0.2681850645197013,0.0022720286160154562,1.0,0.0,0.4229382433496553,0.002826777686495486,0.09359674637187985,267.8,488.0
SKAB,3,0.001,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.2696540445640332,0.002278689299989098,0.2681850645197013,0.0022720286160154562,1.0,0.0,0.4229382433496553,0.002826777686495486,0.09359674637187985,267.8,488.0
SKAB,3,0.005,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.2696540445640332,0.002278689299989098,0.2681850645197013,0.0022720286160154562,1.0,0.0,0.4229382433496553,0.002826777686495486,0.09359674637187985,267.8,488.0
