accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scoring_mode,pst_nll_epsilon,num_states,num_contexts,num_transitions,transition_density,tuning_type,threshold_candidate
0.2780487804878049,0.04516129032258064,1.0,0.08641975308641975,original,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.2731707317073171,0.04487179487179487,1.0,0.08588957055214724,gaussian_noise,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.17218543046357615,0.038461538461538464,1.0,0.07407407407407407,unseen_data,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.2780487804878049,0.04516129032258064,1.0,0.08641975308641975,original,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.2731707317073171,0.04487179487179487,1.0,0.08588957055214724,gaussian_noise,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.17218543046357615,0.038461538461538464,1.0,0.07407407407407407,unseen_data,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.2780487804878049,0.04516129032258064,1.0,0.08641975308641975,original,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.2780487804878049,0.04516129032258064,1.0,0.08641975308641975,gaussian_noise,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.17218543046357615,0.038461538461538464,1.0,0.07407407407407407,unseen_data,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,5.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,5.0
0.7463414634146341,0.07547169811320754,0.5714285714285714,0.13333333333333333,original,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7414634146341463,0.07407407407407407,0.5714285714285714,0.13114754098360656,gaussian_noise,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7463414634146341,0.07547169811320754,0.5714285714285714,0.13333333333333333,original,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7365853658536585,0.07272727272727272,0.5714285714285714,0.12903225806451613,gaussian_noise,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7463414634146341,0.07547169811320754,0.5714285714285714,0.13333333333333333,original,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7365853658536585,0.07272727272727272,0.5714285714285714,0.12903225806451613,gaussian_noise,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7463414634146341,0.07547169811320754,0.5714285714285714,0.13333333333333333,original,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7317073170731707,0.07142857142857142,0.5714285714285714,0.12698412698412698,gaussian_noise,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7463414634146341,0.07547169811320754,0.5714285714285714,0.13333333333333333,original,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.7317073170731707,0.07142857142857142,0.5714285714285714,0.12698412698412698,gaussian_noise,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.0,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.0
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8097560975609757,0.1,0.5714285714285714,0.1702127659574468,gaussian_noise,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,nll_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8048780487804879,0.0975609756097561,0.5714285714285714,0.16666666666666666,gaussian_noise,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,nll_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8048780487804879,0.0975609756097561,0.5714285714285714,0.16666666666666666,gaussian_noise,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,nll_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8,0.09523809523809523,0.5714285714285714,0.16326530612244897,gaussian_noise,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,nll_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8146341463414634,0.10256410256410256,0.5714285714285714,0.17391304347826086,original,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.8,0.09523809523809523,0.5714285714285714,0.16326530612244897,gaussian_noise,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
0.7814569536423841,0.08823529411764706,0.6,0.15384615384615385,unseen_data,BATADAL,nll_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,6.907755,negative_log,1e-12,151,437,891,0.013502659614772606,pst_nll_threshold_tuning,6.907755
