accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scoring_mode,pst_nll_epsilon,pst_score_window,num_states,num_contexts,num_transitions,transition_density,tuning_type,score_window_candidate,adaptive_strategy,adaptive_value,adaptive_threshold,threshold_candidate,train_score_count,train_score_mean,train_score_std,train_score_min,train_score_max,train_score_p90,train_score_p95,train_score_p97,train_score_p99
0.23902439024390243,0.04294478527607362,1.0,0.08235294117647059,original,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23414634146341465,0.042682926829268296,1.0,0.08187134502923976,gaussian_noise,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.13245033112582782,0.03676470588235294,1.0,0.07092198581560284,unseen_data,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23902439024390243,0.04294478527607362,1.0,0.08235294117647059,original,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.22439024390243903,0.04216867469879518,1.0,0.08092485549132948,gaussian_noise,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.13245033112582782,0.03676470588235294,1.0,0.07092198581560284,unseen_data,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23902439024390243,0.04294478527607362,1.0,0.08235294117647059,original,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.22926829268292684,0.04242424242424243,1.0,0.08139534883720931,gaussian_noise,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.13245033112582782,0.03676470588235294,1.0,0.07092198581560284,unseen_data,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23902439024390243,0.04294478527607362,1.0,0.08235294117647059,original,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.22926829268292684,0.04242424242424243,1.0,0.08139534883720931,gaussian_noise,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.13245033112582782,0.03676470588235294,1.0,0.07092198581560284,unseen_data,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23902439024390243,0.04294478527607362,1.0,0.08235294117647059,original,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.23414634146341465,0.042682926829268296,1.0,0.08187134502923976,gaussian_noise,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.13245033112582782,0.03676470588235294,1.0,0.07092198581560284,unseen_data,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,2.854378155248259,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,90.0,2.854378155248259,2.854378155248259,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.2634146341463415,0.04430379746835443,1.0,0.08484848484848485,original,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.25853658536585367,0.0440251572327044,1.0,0.08433734939759036,gaussian_noise,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.15894039735099338,0.03787878787878788,1.0,0.072992700729927,unseen_data,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.2634146341463415,0.04430379746835443,1.0,0.08484848484848485,original,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.25365853658536586,0.04375,1.0,0.08383233532934131,gaussian_noise,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.15894039735099338,0.03787878787878788,1.0,0.072992700729927,unseen_data,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.2634146341463415,0.04430379746835443,1.0,0.08484848484848485,original,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.25365853658536586,0.04375,1.0,0.08383233532934131,gaussian_noise,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.15894039735099338,0.03787878787878788,1.0,0.072992700729927,unseen_data,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.2634146341463415,0.04430379746835443,1.0,0.08484848484848485,original,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.25365853658536586,0.04375,1.0,0.08383233532934131,gaussian_noise,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.15894039735099338,0.03787878787878788,1.0,0.072992700729927,unseen_data,BATADAL,adaptive_threshold_search,7,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.2634146341463415,0.04430379746835443,1.0,0.08484848484848485,original,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.25853658536585367,0.0440251572327044,1.0,0.08433734939759036,gaussian_noise,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.15894039735099338,0.03787878787878788,1.0,0.072992700729927,unseen_data,BATADAL,adaptive_threshold_search,999,4,5,probabilistic_suffix_tree,2,2,0.1,3.2676231525766726,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,95.0,3.2676231525766726,3.2676231525766726,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7170731707317073,0.06779661016949153,0.5714285714285714,0.12121212121212122,original,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7073170731707317,0.06557377049180328,0.5714285714285714,0.11764705882352941,gaussian_noise,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,adaptive_threshold_search,42,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7170731707317073,0.06779661016949153,0.5714285714285714,0.12121212121212122,original,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7024390243902439,0.06451612903225806,0.5714285714285714,0.11594202898550725,gaussian_noise,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,adaptive_threshold_search,123,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7170731707317073,0.06779661016949153,0.5714285714285714,0.12121212121212122,original,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.7073170731707317,0.06557377049180328,0.5714285714285714,0.11764705882352941,gaussian_noise,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
0.6688741721854304,0.058823529411764705,0.6,0.10714285714285714,unseen_data,BATADAL,adaptive_threshold_search,2026,4,5,probabilistic_suffix_tree,2,2,0.1,5.691594683204304,negative_log,1e-12,1,151,437,891,0.013502659614772606,pst_adaptive_threshold_tuning,1,percentile,97.0,5.691594683204304,5.691594683204304,1200,1.757762570911916,1.2702852810560505,0.24865677994205548,7.007271477110241,2.854378155248259,3.2676231525766726,5.691594683204304,7.007271477110241
