candidate_id,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,num_contexts_mean,transition_density_mean
1,3,3,2,1,0.1,0.5,gaussian_noise,0.6709598619940509,0.06943635168350529,0.41985230749595026,0.310366165761912,0.21139759922006976,0.11831566360231853,0.24884637676243665,0.11560566531883693,0.08791208791208792,59.0,0.11457386633903885
1,3,3,2,1,0.1,0.5,original,0.6765040461481254,0.06518895124860578,0.42926067638076876,0.3017297248608585,0.2119113337741943,0.11504425448086841,0.25146616353757956,0.11098184449662164,0.1040650406504065,59.0,0.11457386633903885
1,3,3,2,1,0.1,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,59.0,0.11457386633903885
2,3,3,2,1,0.1,0.7,gaussian_noise,0.628462279717937,0.09944655613916843,0.3955686490729147,0.2774765775318997,0.3153963275703309,0.18256150870810406,0.30122818132744683,0.1334564760963682,0.111254851228978,59.0,0.11457386633903885
2,3,3,2,1,0.1,0.7,original,0.6385166719891084,0.09683587907042032,0.40411224147455976,0.2698028334343629,0.3198764395262545,0.186367709508085,0.30923621825966885,0.14099929364657401,0.11936339522546419,59.0,0.11457386633903885
2,3,3,2,1,0.1,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
3,3,3,2,1,0.1,0.9,gaussian_noise,0.5854895282760071,0.1525162599003043,0.3356196720595187,0.18468756300938216,0.5016204485606393,0.2351809760025328,0.3955177013913397,0.19771068377907433,0.1271282633371169,59.0,0.11457386633903885
3,3,3,2,1,0.1,0.9,original,0.5937982072951457,0.14982587601608743,0.34219126019598634,0.1854407735519073,0.5011067886338468,0.23231663229189037,0.3999172698741745,0.19710770074516332,0.12947976878612716,59.0,0.11457386633903885
3,3,3,2,1,0.1,0.9,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
4,3,3,2,1,0.5,0.5,gaussian_noise,0.6595472968343499,0.07542415892965756,0.4146995592317516,0.2954265066465128,0.2619256482293313,0.17037503662701572,0.27645004892398,0.135885850643388,0.09198813056379822,59.0,0.11457386633903885
4,3,3,2,1,0.5,0.5,original,0.6669522140122666,0.0711759771682097,0.42180262470555724,0.2842619397425202,0.26343064830722357,0.1673406446503798,0.2818162172572386,0.13355296256997667,0.10445468509984639,59.0,0.11457386633903885
4,3,3,2,1,0.5,0.5,unseen_data,0.08,0.1788854381999832,0.05,0.1118033988749895,0.2,0.447213595499958,0.08,0.1788854381999832,0.0,59.0,0.11457386633903885
5,3,3,2,1,0.5,0.7,gaussian_noise,0.6188067601178797,0.11465726101748011,0.39576373585814995,0.27314592927506653,0.36887687637599975,0.20166224784857845,0.3345382465472352,0.13845416900472937,0.11764705882352941,59.0,0.11457386633903885
5,3,3,2,1,0.5,0.7,original,0.6295181523185432,0.1112203323228924,0.4043788783847558,0.26840920141679947,0.36835321638670687,0.20606379812635786,0.3387303828318931,0.14641024132944067,0.12280701754385964,59.0,0.11457386633903885
5,3,3,2,1,0.5,0.7,unseen_data,0.04,0.0894427190999916,0.04,0.0894427190999916,0.2,0.447213595499958,0.06666666666666667,0.14907119849998596,0.0,59.0,0.11457386633903885
6,3,3,2,1,0.5,0.9,gaussian_noise,0.5530771106271212,0.19117049859889076,0.34157483440814984,0.1859511499208961,0.5497407493125189,0.20620927372501216,0.4140349584208357,0.19043573967446503,0.13205907906168549,59.0,0.11457386633903885
6,3,3,2,1,0.5,0.9,original,0.5605771275896207,0.1892351230308579,0.3479166826853163,0.18630837161626587,0.5502295956513906,0.20026460273869495,0.41871784203591983,0.18826182107114903,0.1381118881118881,59.0,0.11457386633903885
