dataset,score_window_candidate,adaptive_strategy,adaptive_value,scenario,window_size,alphabet_size,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,scoring_mode,pst_score_window,adaptive_threshold_mean,adaptive_threshold_std,adaptive_threshold_min,adaptive_threshold_max,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,f1_score_min,train_score_count_mean,train_score_mean,train_score_std_mean,num_contexts_mean,transition_density_mean
BATADAL,1,mean_std,1.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,3.0280478519679663,0.0,3.0280478519679663,3.0280478519679663,0.2497560975609756,0.004081268422117446,0.04353327965646806,0.00022615211810350798,1.0,0.0,0.08343431480234796,0.00041538054896815926,0.08284023668639054,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,1.0,original,4,5,2,2,0.1,negative_log,1,3.0280478519679663,0.0,3.0280478519679663,3.0280478519679663,0.25853658536585367,0.0,0.0440251572327044,0.0,1.0,0.0,0.08433734939759036,0.0,0.08433734939759036,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,1.0,unseen_data,4,5,2,2,0.1,negative_log,1,3.0280478519679663,0.0,3.0280478519679663,3.0280478519679663,0.152317880794702,0.0,0.03759398496240601,0.0,1.0,0.0,0.07246376811594203,0.0,0.07246376811594203,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,2.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,4.298333133024017,0.0,4.298333133024017,4.298333133024017,0.26146341463414635,0.0026718173536837333,0.04419234137409442,0.00015261754249407727,1.0,0.0,0.08464403066812706,0.00027996041639549187,0.08433734939759036,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,2.0,original,4,5,2,2,0.1,negative_log,1,4.298333133024017,0.0,4.298333133024017,4.298333133024017,0.2682926829268293,0.0,0.044585987261146494,0.0,1.0,0.0,0.08536585365853659,0.0,0.08536585365853659,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,2.0,unseen_data,4,5,2,2,0.1,negative_log,1,4.298333133024017,0.0,4.298333133024017,4.298333133024017,0.16556291390728478,0.0,0.03816793893129771,0.0,1.0,0.0,0.07352941176470588,0.0,0.07352941176470588,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,3.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,5.568618414080067,0.0,5.568618414080067,5.568618414080067,0.6819512195121952,0.002181529734146138,0.0733162830349531,0.00047657032768537867,0.7142857142857143,0.0,0.13298245614035087,0.0007845852552630849,0.13157894736842105,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,3.0,original,4,5,2,2,0.1,negative_log,1,5.568618414080067,0.0,5.568618414080067,5.568618414080067,0.6926829268292682,0.0,0.07575757575757576,0.0,0.7142857142857143,0.0,0.136986301369863,0.0,0.136986301369863,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,mean_std,3.0,unseen_data,4,5,2,2,0.1,negative_log,1,5.568618414080067,0.0,5.568618414080067,5.568618414080067,0.6423841059602649,0.0,0.07017543859649122,0.0,0.8,0.0,0.12903225806451613,0.0,0.12903225806451613,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,90.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,2.854378155248259,0.0,2.854378155248259,2.854378155248259,0.23024390243902443,0.004081268422117446,0.042476602641163326,0.00021531496900903144,1.0,0.0,0.08149164864484552,0.0003962765680110053,0.08092485549132948,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,90.0,original,4,5,2,2,0.1,negative_log,1,2.854378155248259,0.0,2.854378155248259,2.854378155248259,0.23902439024390243,0.0,0.04294478527607362,0.0,1.0,0.0,0.08235294117647059,0.0,0.08235294117647059,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,90.0,unseen_data,4,5,2,2,0.1,negative_log,1,2.854378155248259,0.0,2.854378155248259,2.854378155248259,0.13245033112582782,0.0,0.03676470588235294,0.0,1.0,0.0,0.07092198581560284,0.0,0.07092198581560284,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,95.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,3.2676231525766726,0.0,3.2676231525766726,3.2676231525766726,0.255609756097561,0.002671817353683743,0.04386006289308176,0.00015070982321290055,1.0,0.0,0.08403434095664093,0.00027660759703745404,0.08383233532934131,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,95.0,original,4,5,2,2,0.1,negative_log,1,3.2676231525766726,0.0,3.2676231525766726,3.2676231525766726,0.2634146341463415,0.0,0.04430379746835443,0.0,1.0,0.0,0.08484848484848485,0.0,0.08484848484848485,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,95.0,unseen_data,4,5,2,2,0.1,negative_log,1,3.2676231525766726,0.0,3.2676231525766726,3.2676231525766726,0.15894039735099338,0.0,0.03787878787878788,0.0,1.0,0.0,0.072992700729927,0.0,0.072992700729927,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,97.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,5.691594683204304,0.0,5.691594683204304,5.691594683204304,0.704390243902439,0.0026718173536837394,0.06493918561607614,0.000579294085145608,0.5714285714285714,0.0,0.11662404092071613,0.0009338833035041151,0.11594202898550725,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,97.0,original,4,5,2,2,0.1,negative_log,1,5.691594683204304,0.0,5.691594683204304,5.691594683204304,0.7170731707317073,0.0,0.06779661016949153,0.0,0.5714285714285714,0.0,0.12121212121212122,0.0,0.12121212121212122,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,97.0,unseen_data,4,5,2,2,0.1,negative_log,1,5.691594683204304,0.0,5.691594683204304,5.691594683204304,0.6688741721854304,0.0,0.058823529411764705,0.0,0.6,0.0,0.10714285714285714,0.0,0.10714285714285714,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,99.0,gaussian_noise,4,5,2,2,0.1,negative_log,1,7.007271477110241,0.0,7.007271477110241,7.007271477110241,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,99.0,original,4,5,2,2,0.1,negative_log,1,7.007271477110241,0.0,7.007271477110241,7.007271477110241,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,1,percentile,99.0,unseen_data,4,5,2,2,0.1,negative_log,1,7.007271477110241,0.0,7.007271477110241,7.007271477110241,0.9668874172185431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1.757762570911916,1.2702852810560505,437.0,0.013502659614772605
BATADAL,3,mean_std,1.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,2.853804404810909,0.0,2.853804404810909,2.853804404810909,0.10731707317073172,0.0034493013716416997,0.03684251349723931,0.00013711705592316708,1.0,0.0,0.07106672233575786,0.0002550909982748932,0.0707070707070707,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,1.0,original,4,5,2,2,0.1,negative_log,3,2.853804404810909,0.0,2.853804404810909,2.853804404810909,0.11219512195121953,0.0,0.037037037037037035,0.0,1.0,0.0,0.07142857142857142,0.0,0.07142857142857142,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,1.0,unseen_data,4,5,2,2,0.1,negative_log,3,2.853804404810909,0.0,2.853804404810909,2.853804404810909,0.07947019867549669,0.0,0.034722222222222224,0.0,1.0,0.0,0.06711409395973154,0.0,0.06711409395973154,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,2.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,3.9484073641487583,0.0,3.9484073641487587,3.9484073641487587,0.215609756097561,0.004081268422117446,0.04171715740117398,0.00020769027448407963,1.0,0.0,0.08009299895506791,0.0003828004242480166,0.07954545454545454,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,2.0,original,4,5,2,2,0.1,negative_log,3,3.9484073641487583,0.0,3.9484073641487587,3.9484073641487587,0.22439024390243906,0.0,0.04216867469879518,0.0,1.0,0.0,0.08092485549132948,0.0,0.08092485549132948,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,2.0,unseen_data,4,5,2,2,0.1,negative_log,3,3.9484073641487583,0.0,3.9484073641487587,3.9484073641487587,0.12582781456953643,0.0,0.0364963503649635,0.0,1.0,0.0,0.07042253521126761,0.0,0.07042253521126761,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,3.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,5.043010323486609,0.0,5.043010323486609,5.043010323486609,0.4409756097560976,0.008861415670529246,0.057576017669001,0.0008558488546628649,1.0,0.0,0.10888199552896463,0.0015308057917781067,0.10687022900763359,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,3.0,original,4,5,2,2,0.1,negative_log,3,5.043010323486609,0.0,5.043010323486609,5.043010323486609,0.4487804878048781,0.0,0.058333333333333334,0.0,1.0,0.0,0.11023622047244094,0.0,0.11023622047244094,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,mean_std,3.0,unseen_data,4,5,2,2,0.1,negative_log,3,5.043010323486609,0.0,5.043010323486609,5.043010323486609,0.2781456953642384,0.0,0.043859649122807015,0.0,1.0,0.0,0.08403361344537816,0.0,0.08403361344537816,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,90.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,2.604058913217534,0.0,2.604058913217534,2.604058913217534,0.09268292682926829,0.0034493013716416997,0.036269819543115575,0.00013288733174810917,1.0,0.0,0.07000070001750044,0.00024749541694905035,0.06965174129353234,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,90.0,original,4,5,2,2,0.1,negative_log,3,2.604058913217534,0.0,2.604058913217534,2.604058913217534,0.0975609756097561,0.0,0.036458333333333336,0.0,1.0,0.0,0.07035175879396985,0.0,0.07035175879396985,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,90.0,unseen_data,4,5,2,2,0.1,negative_log,3,2.604058913217534,0.0,2.604058913217534,2.604058913217534,0.0728476821192053,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.06666666666666667,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,95.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,3.584574609591924,0.0,3.5845746095919235,3.5845746095919235,0.1775609756097561,0.004363059468292265,0.03986414997431947,0.00020227476134403833,1.0,0.0,0.07667178390628142,0.0003741811313741847,0.07608695652173914,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,95.0,original,4,5,2,2,0.1,negative_log,3,3.584574609591924,0.0,3.5845746095919235,3.5845746095919235,0.18536585365853658,0.0,0.040229885057471264,0.0,1.0,0.0,0.07734806629834254,0.0,0.07734806629834254,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,95.0,unseen_data,4,5,2,2,0.1,negative_log,3,3.584574609591924,0.0,3.5845746095919235,3.5845746095919235,0.09271523178807947,0.0,0.035211267605633804,0.0,1.0,0.0,0.06802721088435375,0.0,0.06802721088435375,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,97.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,4.185877163129846,0.0,4.185877163129846,4.185877163129846,0.27414634146341466,0.004081268422117446,0.044930431529979505,0.00024088894429826987,1.0,0.0,0.08599690018713411,0.0004412675410724068,0.08536585365853659,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,97.0,original,4,5,2,2,0.1,negative_log,3,4.185877163129846,0.0,4.185877163129846,4.185877163129846,0.28292682926829266,0.0,0.045454545454545456,0.0,1.0,0.0,0.08695652173913043,0.0,0.08695652173913043,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,97.0,unseen_data,4,5,2,2,0.1,negative_log,3,4.185877163129846,0.0,4.185877163129846,4.185877163129846,0.16556291390728478,0.0,0.03816793893129771,0.0,1.0,0.0,0.07352941176470588,0.0,0.07352941176470588,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,99.0,gaussian_noise,4,5,2,2,0.1,negative_log,3,5.92383525847951,0.0,5.92383525847951,5.92383525847951,0.7853658536585366,0.0034493013716416932,0.1064022510021585,0.0016014556283180852,0.7142857142857143,0.0,0.18521059653135125,0.0024260018012212895,0.18181818181818182,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,99.0,original,4,5,2,2,0.1,negative_log,3,5.92383525847951,0.0,5.92383525847951,5.92383525847951,0.8,0.0,0.11363636363636362,0.0,0.7142857142857143,0.0,0.19607843137254902,0.0,0.19607843137254902,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,3,percentile,99.0,unseen_data,4,5,2,2,0.1,negative_log,3,5.92383525847951,0.0,5.92383525847951,5.92383525847951,0.7350993377483444,0.0,0.11111111111111112,0.0,1.0,0.0,0.2,0.0,0.2,1200.0,1.7592014454730591,1.09460295933785,437.0,0.013502659614772605
BATADAL,5,mean_std,1.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,2.7476196742767107,0.0,2.7476196742767107,2.7476196742767107,0.09560975609756098,0.004363059468292277,0.036383161512027494,0.00016808930243233217,1.0,0.0,0.07021175529388235,0.0003130573432835507,0.06965174129353234,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,1.0,original,4,5,2,2,0.1,negative_log,5,2.7476196742767107,0.0,2.7476196742767107,2.7476196742767107,0.0975609756097561,0.0,0.036458333333333336,0.0,1.0,0.0,0.07035175879396985,0.0,0.07035175879396985,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,1.0,unseen_data,4,5,2,2,0.1,negative_log,5,2.7476196742767107,0.0,2.7476196742767107,2.7476196742767107,0.046357615894039736,0.0,0.03355704697986577,0.0,1.0,0.0,0.06493506493506493,0.0,0.06493506493506493,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,2.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,3.734353388390815,0.0,3.734353388390815,3.734353388390815,0.15317073170731707,0.009509067653472172,0.038763305011232804,0.00041866924498723453,1.0,0.0,0.07463331611938423,0.0007759895268224032,0.07368421052631578,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,2.0,original,4,5,2,2,0.1,negative_log,5,3.734353388390815,0.0,3.734353388390815,3.734353388390815,0.15609756097560976,0.0,0.03888888888888889,0.0,1.0,0.0,0.0748663101604278,0.0,0.0748663101604278,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,2.0,unseen_data,4,5,2,2,0.1,negative_log,5,3.734353388390815,0.0,3.734353388390815,3.734353388390815,0.09271523178807947,0.0,0.035211267605633804,0.0,1.0,0.0,0.06802721088435375,0.0,0.06802721088435375,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,3.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,4.72108710250492,0.0,4.72108710250492,4.72108710250492,0.3678048780487805,0.006544589202438413,0.05124846073695179,0.0005028775388052436,1.0,0.0,0.09749983867516651,0.0009101235358298873,0.09655172413793103,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,3.0,original,4,5,2,2,0.1,negative_log,5,4.72108710250492,0.0,4.72108710250492,4.72108710250492,0.3853658536585366,0.0,0.05263157894736842,0.0,1.0,0.0,0.1,0.0,0.1,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,mean_std,3.0,unseen_data,4,5,2,2,0.1,negative_log,5,4.72108710250492,0.0,4.72108710250492,4.72108710250492,0.23841059602649003,0.0,0.041666666666666664,0.0,1.0,0.0,0.08,0.0,0.08,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,90.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,2.7127341661092657,0.0,2.7127341661092657,2.7127341661092657,0.09560975609756098,0.004363059468292277,0.036383161512027494,0.00016808930243233217,1.0,0.0,0.07021175529388235,0.0003130573432835507,0.06965174129353234,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,90.0,original,4,5,2,2,0.1,negative_log,5,2.7127341661092657,0.0,2.7127341661092657,2.7127341661092657,0.0975609756097561,0.0,0.036458333333333336,0.0,1.0,0.0,0.07035175879396985,0.0,0.07035175879396985,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,90.0,unseen_data,4,5,2,2,0.1,negative_log,5,2.7127341661092657,0.0,2.7127341661092657,2.7127341661092657,0.046357615894039736,0.0,0.03355704697986577,0.0,1.0,0.0,0.06493506493506493,0.0,0.06493506493506493,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,95.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,3.3822614240711557,0.0,3.382261424071156,3.382261424071156,0.12292682926829268,0.006360197468490393,0.03747469732531705,0.0002621707080336549,1.0,0.0,0.0722420437627291,0.0004871050264327881,0.07179487179487179,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,95.0,original,4,5,2,2,0.1,negative_log,5,3.3822614240711557,0.0,3.382261424071156,3.382261424071156,0.12195121951219512,0.0,0.0374331550802139,0.0,1.0,0.0,0.07216494845360824,0.0,0.07216494845360824,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,95.0,unseen_data,4,5,2,2,0.1,negative_log,5,3.3822614240711557,0.0,3.382261424071156,3.382261424071156,0.0728476821192053,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.06666666666666667,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,97.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,4.190518695096649,0.0,4.190518695096649,4.190518695096649,0.24097560975609755,0.005561831341947005,0.04305212695883813,0.00030241868768019094,1.0,0.0,0.08255015948038096,0.0005558968535770063,0.08187134502923976,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,97.0,original,4,5,2,2,0.1,negative_log,5,4.190518695096649,0.0,4.190518695096649,4.190518695096649,0.25365853658536586,0.0,0.04375,0.0,1.0,0.0,0.08383233532934131,0.0,0.08383233532934131,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,97.0,unseen_data,4,5,2,2,0.1,negative_log,5,4.190518695096649,0.0,4.190518695096649,4.190518695096649,0.1456953642384106,0.0,0.03731343283582089,0.0,1.0,0.0,0.07194244604316546,0.0,0.07194244604316546,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,99.0,gaussian_noise,4,5,2,2,0.1,negative_log,5,5.046465977485337,0.0,5.046465977485337,5.046465977485337,0.4702439024390245,0.004363059468292244,0.060556563823351485,0.0004734566195553098,1.0,0.0,0.11419740643687429,0.0008413613299737217,0.11382113821138211,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,99.0,original,4,5,2,2,0.1,negative_log,5,5.046465977485337,0.0,5.046465977485337,5.046465977485337,0.4975609756097561,0.0,0.06363636363636363,0.0,1.0,0.0,0.11965811965811965,0.0,0.11965811965811966,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,5,percentile,99.0,unseen_data,4,5,2,2,0.1,negative_log,5,5.046465977485337,0.0,5.046465977485337,5.046465977485337,0.304635761589404,0.0,0.045454545454545456,0.0,1.0,0.0,0.08695652173913043,0.0,0.08695652173913043,1200.0,1.7608859601626061,0.9867337141141045,437.0,0.013502659614772605
BATADAL,10,mean_std,1.0,gaussian_noise,4,5,2,2,0.1,negative_log,10,2.5819907950667096,0.0,2.5819907950667096,2.5819907950667096,0.0351219512195122,0.002181529734146135,0.03417981826877092,7.485641244619065e-05,1.0,0.0,0.06610033085934007,0.00013996669804613247,0.0660377358490566,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,1.0,original,4,5,2,2,0.1,negative_log,10,2.5819907950667096,0.0,2.5819907950667096,2.5819907950667096,0.03902439024390244,0.0,0.03431372549019608,0.0,1.0,0.0,0.06635071090047394,0.0,0.06635071090047394,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,1.0,unseen_data,4,5,2,2,0.1,negative_log,10,2.5819907950667096,0.0,2.5819907950667096,2.5819907950667096,0.033112582781456956,0.0,0.033112582781456956,0.0,1.0,0.0,0.0641025641025641,0.0,0.0641025641025641,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,2.0,gaussian_noise,4,5,2,2,0.1,negative_log,10,3.398803051549863,0.0,3.398803051549863,3.398803051549863,0.1180487804878049,0.005343634707367476,0.037274714659752406,0.00021842220886041295,1.0,0.0,0.07187040938336274,0.0004059448624939657,0.07142857142857142,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,2.0,original,4,5,2,2,0.1,negative_log,10,3.398803051549863,0.0,3.398803051549863,3.398803051549863,0.12682926829268293,0.0,0.03763440860215054,0.0,1.0,0.0,0.07253886010362694,0.0,0.07253886010362694,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,2.0,unseen_data,4,5,2,2,0.1,negative_log,10,3.398803051549863,0.0,3.398803051549863,3.398803051549863,0.033112582781456956,0.0,0.033112582781456956,0.0,1.0,0.0,0.0641025641025641,0.0,0.0641025641025641,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,3.0,gaussian_noise,4,5,2,2,0.1,negative_log,10,4.215615308033016,0.0,4.215615308033016,4.215615308033016,0.24,0.004081268422117438,0.04299845009356706,0.00022063377053620198,1.0,0.0,0.0824515401509924,0.0004056599216462291,0.08187134502923976,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,3.0,original,4,5,2,2,0.1,negative_log,10,4.215615308033016,0.0,4.215615308033016,4.215615308033016,0.23902439024390243,0.0,0.04294478527607362,0.0,1.0,0.0,0.08235294117647059,0.0,0.08235294117647059,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,mean_std,3.0,unseen_data,4,5,2,2,0.1,negative_log,10,4.215615308033016,0.0,4.215615308033016,4.215615308033016,0.11920529801324502,0.0,0.036231884057971016,0.0,1.0,0.0,0.06993006993006994,0.0,0.06993006993006994,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,percentile,90.0,gaussian_noise,4,5,2,2,0.1,negative_log,10,2.722600860290806,0.0,2.722600860290806,2.722600860290806,0.0351219512195122,0.002181529734146135,0.03417981826877092,7.485641244619065e-05,1.0,0.0,0.06610033085934007,0.00013996669804613247,0.0660377358490566,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
BATADAL,10,percentile,90.0,original,4,5,2,2,0.1,negative_log,10,2.722600860290806,0.0,2.722600860290806,2.722600860290806,0.03902439024390244,0.0,0.03431372549019608,0.0,1.0,0.0,0.06635071090047394,0.0,0.06635071090047394,1200.0,1.7651785385835566,0.8168122564831531,437.0,0.013502659614772605
