dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,3,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03272727272727273,0.0,0.02564102564102564,0.0,1.0,0.0,0.05,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.31272727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.9054545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.9563636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385976855003404,226.0,434.0
BATADAL,5,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.15432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.40740740740740733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,5,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.5246913580246914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01306479113384484,460.0,613.0
BATADAL,6,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.03007518796992481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.07518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.2781954887218045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.5338345864661654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,6,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.7593984962406015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013948717948717947,375.0,476.0
BATADAL,7,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,7,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.25892857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008152078428616606,573.0,696.0
BATADAL,8,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.5108,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.6931,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,0.9163,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,1.204,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,1.6094,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,2.3026,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,2.9957,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,3.5066,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,3.912,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,8,4.2,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009533898305084746,408.0,459.0
BATADAL,9,0.0,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.001,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.005,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.01,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.05,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.1054,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.2231,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
BATADAL,9,0.3567,3,0.1,avg_negative_log,5,,True,10.0,0.5,additive,True,5,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00781955736224029,492.0,554.0
