dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,ensemble_enabled,ensemble_orders,ensemble_weights,ensemble_aggregation,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,4,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.5565217391304348,0.47079147451538517,0.15,0.30618621784789724,0.2,0.408248290463863,0.17142857142857143,0.34992710611188255,0.04869467174957779,458.8,795.0
SKAB,5,0.0,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.7488372093023256,0.3952918335557425,0.145,0.2959800105863007,0.2,0.408248290463863,0.1681159420289855,0.34316522966527613,0.02310945304285338,732.2,1149.0
SKAB,5,0.05,3,0.5,avg_negative_log,10,,True,"[2, 3, 4]",,max,25,0.7488372093023256,0.3952918335557425,0.145,0.2959800105863007,0.2,0.408248290463863,0.1681159420289855,0.34316522966527613,0.02310945304285338,732.2,1149.0
