dataset,window_size,score_threshold,original_precision_mean,original_recall_mean,original_f1_score_mean,original_accuracy_mean,original_n_runs,unseen_precision_mean,unseen_recall_mean,unseen_f1_score_mean,unseen_accuracy_mean,unseen_n_runs
BATADAL,4,3.912,0.3076923076923077,0.5714285714285714,0.4,0.9414634146341463,5,0.14285714285714285,1.0,0.25,0.625,5
BATADAL,4,3.5066,0.16666666666666666,0.5714285714285714,0.25806451612903225,0.8878048780487806,5,0.125,1.0,0.22222222222222224,0.5625,5
BATADAL,4,4.2,0.3333333333333333,0.14285714285714285,0.2,0.9609756097560975,5,0.0,0.0,0.0,0.9375,5
