dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
SKAB,5,0.05,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3874314859411134,0.05386402589484427,0.3716248178721377,0.02464538040715324,1.0,0.0,0.5414343890801612,0.025562644415137382,0.024463156247202984,399.6,664.2
SKAB,4,0.05,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.47168211257709963,0.1931369571332731,0.3914267695521122,0.1272156804815844,0.863157894736842,0.279327777685801,0.5377604712476213,0.17320098281951837,0.05091218372849919,233.6,423.2
SKAB,5,0.0,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.001,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.005,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,5,0.01,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.36262528439072583,0.004448477640582856,0.36119506020251557,0.004470029693779672,1.0,0.0,0.530687635833408,0.004831281390300816,0.024463156247202984,399.6,664.2
SKAB,4,0.0,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.001,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.005,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.01,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3592061281272186,0.002957657813853152,0.3580589521960147,0.002954437329781126,1.0,0.0,0.5273031862315215,0.003205570288090946,0.05091218372849919,233.6,423.2
SKAB,4,0.2231,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,4,0.3567,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.5953863286109842,0.1469375357132884,0.49497906896383964,0.20111904524242466,0.5790041411639419,0.3118467297483302,0.48356067717337425,0.18809576577307613,0.05091218372849919,233.6,423.2
SKAB,4,0.1054,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.5451547623985828,0.1443538623673851,0.3941463615777333,0.15482282667913178,0.6139982871161601,0.3137840788630038,0.4730425300302867,0.20330600934561804,0.05091218372849919,233.6,423.2
SKAB,4,0.5108,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.6021785295052722,0.14302291274854603,0.49885965556728556,0.20744733481049124,0.5475112857515061,0.31099487244954077,0.4712839167160409,0.19639157956404033,0.05091218372849919,233.6,423.2
SKAB,3,0.1054,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.550125504419663,0.16860921661811884,0.3506566413347672,0.1655680832188858,0.6636109852552249,0.23911283125997923,0.4508002618998643,0.18241159525595113,0.09671838815773455,131.8,248.2
SKAB,4,0.6931,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.6075396773602264,0.14377985392471596,0.5031125770307464,0.2282684009447675,0.4949657987601228,0.2997490363340707,0.4491165401965439,0.20993455162110902,0.05091218372849919,233.6,423.2
SKAB,6,0.1054,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.3756453902622757,0.1221841663690812,0.2747464302083234,0.039793937755911876,1.0,0.0,0.4295717376863392,0.04967911982623435,0.012314008578911195,661.0,997.8
SKAB,3,0.0,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
SKAB,3,0.001,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
SKAB,3,0.005,3,0.5,avg_negative_log,10,,False,5.0,uniform,25,0.26898492572952654,0.0022735778078821515,0.2680053651888835,0.0022691334014790657,1.0,0.0,0.4227147561382856,0.00282397625619724,0.09671838815773455,131.8,248.2
