dataset,window_size,score_threshold,order,smoothing_alpha,decision_mode,score_window,max_mapping_distance,entropy_threshold,entropy_mode,n_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,4,2.9957,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.23414634146341468,0.0,0.042682926829268296,0.0,1.0,0.0,0.08187134502923976,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,3.912,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.33170731707317075,0.0,0.04225352112676056,0.0,0.8571428571428571,0.0,0.08053691275167785,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,3.5066,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.3121951219512195,0.0,0.0410958904109589,0.0,0.8571428571428571,0.0,0.0784313725490196,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,2.3026,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.11219512195121953,0.0,0.037037037037037035,0.0,1.0,0.0,0.07142857142857142,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,4.2,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.33658536585365856,0.0,0.03597122302158273,0.0,0.7142857142857143,0.0,0.0684931506849315,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.6094,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.06829268292682927,0.0,0.03535353535353535,0.0,1.0,0.0,0.06829268292682927,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.0,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.001,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.005,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.01,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.05,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.1054,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.2231,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.3567,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.5108,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.6931,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.9163,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,1.204,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,1.204,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.13454545454545455,0.0,0.02857142857142857,0.0,1.0,0.0,0.05555555555555556,0.0,0.07385976855003404,226.0,434.0
BATADAL,3,0.9163,3,0.1,avg_negative_log,5,,0.85,normalized,5,0.05454545454545454,0.0,0.026217228464419477,0.0,1.0,0.0,0.05109489051094891,0.0,0.07385976855003404,226.0,434.0
