dataset,fold,seed,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,selected_pair_shared_parameters,best_shared_pair_validation_f1,best_any_pair_validation_f1,final_validation_f1,final_validation_precision,final_validation_recall,validation_recall_constraint_met,validation_selection_mode,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count
SKAB,1,42,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.39504373177842567,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.06898468379446643,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82
SKAB,1,123,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.39504373177842567,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.06898468379446643,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82
SKAB,1,2026,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,False,0.5269784172661871,0.5300950369588172,0.5513392857142857,0.41029900332225916,0.8401360544217688,True,recall_constrained,0.5837432915921288,0.5232558139534884,0.06048747763864043,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83
SKAB,1,7,4,3,0.05,2,0.1,0.05,10,0.5,0.0,0.25,-0.2477628607780888,12,False,0.5269784172661871,0.5300950369588172,0.5513392857142857,0.41029900332225916,0.8401360544217688,True,recall_constrained,0.5837432915921288,0.5232558139534884,0.06048747763864043,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|13.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|2.csv,33,16,38,0.1484375,28,22,45,0.09297520661157024,61,38,83
SKAB,1,999,4,3,0.01,2,0.1,0.01,10,1.0,0.0,2.0,-0.2946507417678742,10,False,0.5389105058365758,0.541871921182266,0.5530612244897959,0.39504373177842567,0.9217687074829932,True,recall_constrained,0.5831892292490118,0.5142045454545454,0.06898468379446643,StratifiedGroupKFold,1,1.csv|10.csv|11.csv|12.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|9.csv,13.csv|2.csv,36,17,38,0.1314878892733564,28,22,44,0.09090909090909091,64,39,82
SKAB,2,42,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,False,0.527117031398668,0.5330739299610895,0.542016806722689,0.3915022761760243,0.8805460750853242,True,recall_constrained,0.5647356377213055,0.5207756232686981,0.0439600144526075,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58
SKAB,2,123,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,False,0.527117031398668,0.5330739299610895,0.542016806722689,0.3915022761760243,0.8805460750853242,True,recall_constrained,0.5647356377213055,0.5207756232686981,0.0439600144526075,StratifiedGroupKFold,1,0.csv|12.csv|13.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,11.csv|2.csv,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58
SKAB,2,2026,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,False,0.5559999999999999,0.5728987993138936,0.5282685512367491,0.3589435774309724,1.0,True,recall_constrained,0.5277609986912313,0.5055555555555555,0.015742938109537013,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70
SKAB,2,7,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,False,0.5559999999999999,0.5728987993138936,0.5282685512367491,0.3589435774309724,1.0,True,recall_constrained,0.5277609986912313,0.5055555555555555,0.015742938109537013,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|8.csv,12.csv|4.csv|9.csv,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70
SKAB,2,999,4,3,0.01,2,0.1,0.01,2,0.1,0.0,0.0,-2.3870030198070427,10,True,0.5274336283185841,0.5274336283185841,0.5350553505535055,0.36895674300254455,0.9731543624161074,True,recall_constrained,0.5346898571817187,0.5259938837920489,0.00695216845407814,StratifiedGroupKFold,5,0.csv|11.csv|13.csv|15.csv|2.csv|3.csv|5.csv|6.csv|7.csv|9.csv,12.csv|4.csv|8.csv,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69
SKAB,3,42,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,False,0.5894206549118388,0.6010781671159028,0.601078167115903,0.5033860045146726,0.745819397993311,True,recall_constrained,0.5804306114865122,0.46258503401360546,0.09253941939056975,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91
SKAB,3,123,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,False,0.5332086061739943,0.5338417540514776,0.5426515930113053,0.38880706921944036,0.8979591836734694,True,recall_constrained,0.5684807855943702,0.5183175033921302,0.05016328220223998,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87
SKAB,3,2026,4,3,0.01,10,1.0,0.05,10,0.1,0.0,0.0,-1.8887517352153649,5,False,0.5290437890974083,0.5479833101529903,0.5284039675383229,0.36128236744759556,0.9832214765100671,True,recall_constrained,0.5280959286470446,0.52046783625731,0.008693270487854624,StratifiedGroupKFold,5,0.csv|1.csv|10.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv,13.csv|4.csv|8.csv,38,27,55,0.07544581618655692,28,24,50,0.08680555555555555,66,51,105
SKAB,3,7,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,False,0.5332086061739943,0.5338417540514776,0.5426515930113053,0.38880706921944036,0.8979591836734694,True,recall_constrained,0.5684807855943702,0.5183175033921302,0.05016328220223998,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87
SKAB,3,999,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,False,0.5894206549118388,0.6010781671159028,0.601078167115903,0.5033860045146726,0.745819397993311,True,recall_constrained,0.5804306114865122,0.46258503401360546,0.09253941939056975,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91
SKAB,4,42,4,3,0.01,5,1.0,0.05,10,0.5,0.0,0.5,-0.006116227017436193,5,False,0.5265049415992813,0.5284552845528456,0.5434543454345434,0.4022801302931596,0.8372881355932204,True,recall_constrained,0.5802179836512262,0.5204359673024523,0.059782016348773837,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|9.csv,35,16,35,0.13671875,31,26,53,0.07840236686390532,66,42,88
SKAB,4,123,4,3,0.01,5,1.0,0.05,2,0.1,0.0,2.0,-0.20643007034046912,7,False,0.5647517039922103,0.5672797676669894,0.5813492063492064,0.4109396914446003,0.9932203389830508,True,recall_constrained,0.6324807573738539,0.5204359673024523,0.11204479007140156,StratifiedGroupKFold,1,0.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,1.csv|10.csv,35,16,36,0.140625,31,10,32,0.32,66,26,68
SKAB,4,2026,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.38756613756613756,0.9898648648648649,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.05917622857924876,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91
SKAB,4,7,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.38756613756613756,0.9898648648648649,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.05917622857924876,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91
SKAB,4,999,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.38756613756613756,0.9898648648648649,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.05917622857924876,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.12962962962962962,30,17,49,0.1695501730103806,65,35,91
SKAB,5,42,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.15071482116084817,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93
SKAB,5,123,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,False,0.5784114052953157,0.5849639546858908,0.6033057851239669,0.4332344213649852,0.9931972789115646,True,recall_constrained,0.6818189516470489,0.5228215767634855,0.15899737488356336,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,27,52,0.07133058984910837,29,23,46,0.08695652173913043,67,50,98
SKAB,5,2026,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,False,0.5784114052953157,0.5849639546858908,0.6033057851239669,0.4332344213649852,0.9931972789115646,True,recall_constrained,0.6818189516470489,0.5228215767634855,0.15899737488356336,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,27,52,0.07133058984910837,29,23,46,0.08695652173913043,67,50,98
SKAB,5,7,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.15071482116084817,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93
SKAB,5,999,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.15071482116084817,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.08159722222222222,29,24,46,0.0798611111111111,67,48,93
