accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,7,4,3,3,0.05,0.1,True,0.05,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6439024390243903,0.06578947368421052,0.7142857142857143,0.12048192771084337,original,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.05,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6439024390243903,0.06578947368421052,0.7142857142857143,0.12048192771084337,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.05,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,999,4,3,3,0.05,0.1,True,0.05,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6682926829268293,0.07042253521126761,0.7142857142857143,0.1282051282051282,original,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6829268292682927,0.07352941176470588,0.7142857142857143,0.13333333333333333,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,42,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6682926829268293,0.07042253521126761,0.7142857142857143,0.1282051282051282,original,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.6536585365853659,0.04285714285714286,0.42857142857142855,0.07792207792207792,gaussian_noise,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
0.25,0.07692307692307693,1.0,0.14285714285714285,unseen_data,BATADAL,dirichlet_smoothing_sweep,123,4,3,3,0.05,0.1,True,0.1,uniform,avg_negative_log,3.912,,5,,366,65,553,0.023245060949978982
