search_stage,normal_distance_penalty,anomaly_distance_penalty,threshold,recall_constraint_met,predicted_anomaly_count,validation_accuracy,validation_precision,validation_recall,validation_f1_score,dataset,fold,seed,inner_splitter,inner_split_id,validation_sample_count,validation_anomaly_count,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,min_anomaly_run,raw_predicted_anomaly_count,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1
class_specific_distance_penalty,2.0,0.25,-0.06560608296479253,True,721,0.4384057971014493,0.3814147018030513,0.935374149659864,0.541871921182266,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,,,,,
class_specific_distance_penalty,2.0,0.5,-0.06560608296479253,True,721,0.4384057971014493,0.3814147018030513,0.935374149659864,0.541871921182266,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,,,,,
class_specific_distance_penalty,2.0,1.0,-0.06560608296479253,True,721,0.4384057971014493,0.3814147018030513,0.935374149659864,0.541871921182266,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,,,,,
class_specific_distance_penalty,2.0,2.0,-0.06560608296479253,True,721,0.4384057971014493,0.3814147018030513,0.935374149659864,0.541871921182266,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,,,,,
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,3.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,4.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,5.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,6.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,7.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,8.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,10.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.924474910604083,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,12.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,1.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
threshold_temporal_persistence,0.0,2.0,-3.9244749106030827,True,828,0.35507246376811596,0.35507246376811596,1.0,0.5240641711229946,SKAB,1,42,StratifiedGroupKFold,1,828,294,0.01,2,0.1,0.01,10,1.0,2.0,828.0,0.5279317697228145,0.5156037991858887,0.012327970536925748
