dataset,model,scenario,f1_mean,f1_std,recall_mean,recall_std,precision_mean,accuracy_mean
SKAB,GRU,gaussian_noise,0.8522010642441826,0.042721044148003234,0.8273881937085243,0.08090813480895644,0.8989090437331189,0.8978322055966423
SKAB,GRU,unseen_data,0.6010996563573883,0.49865384853209876,0.6005574912891987,0.49931043029556277,0.64,0.9414723926380368
SKAB,LSTM,gaussian_noise,0.8405467461548962,0.053824646728491445,0.8244442161972431,0.08557851628386622,0.8805815840691836,0.887936724219213
SKAB,LSTM,unseen_data,0.6215273537114302,0.47892604581068515,0.6228571428571429,0.48057661020845555,0.6443152108156448,0.9344376278118609
