scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
gaussian_noise,0.32195121951219513,0.007712872341874103,0.040371276291403024,0.002778172197099789,0.8285714285714285,0.06388765649999395,0.07699068399296287,0.005325012960154987
original,0.32195121951219513,0.0,0.041666666666666664,0.0,0.8571428571428571,0.0,0.07947019867549669,0.0
unseen_data,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0
