accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,num_states,num_contexts,num_transitions,transition_density
0.7054545454545454,0.0,0.0,0.0,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,2,1,1.0,26,91,226,0.09551986475063398
0.7163636363636363,0.0,0.0,0.0,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,2,2,1.0,26,91,226,0.09551986475063398
0.72,0.0,0.0,0.0,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,2,3,1.0,26,91,226,0.09551986475063398
0.610909090909091,0.00980392156862745,0.14285714285714285,0.01834862385321101,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,3,1,1.0,26,227,460,0.07793968146391055
0.6436363636363637,0.010752688172043012,0.14285714285714285,0.02,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,3,2,1.0,26,227,460,0.07793968146391055
0.6581818181818182,0.011235955056179775,0.14285714285714285,0.020833333333333332,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,3,3,1.0,26,227,460,0.07793968146391055
0.5563636363636364,0.008547008547008548,0.14285714285714285,0.016129032258064516,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,4,1,1.0,26,461,819,0.06832971800433839
0.610909090909091,0.00980392156862745,0.14285714285714285,0.01834862385321101,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,4,2,1.0,26,461,819,0.06832971800433839
0.6290909090909091,0.010309278350515464,0.14285714285714285,0.019230769230769232,original,BATADAL,param_search,42,3,3,probabilistic_suffix_tree,4,3,1.0,26,461,819,0.06832971800433839
0.22545454545454546,0.018691588785046728,0.5714285714285714,0.03619909502262444,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,2,1,1.0,55,186,426,0.04164222873900293
0.26181818181818184,0.0196078431372549,0.5714285714285714,0.037914691943127965,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,2,2,1.0,55,186,426,0.04164222873900293
0.28,0.020100502512562814,0.5714285714285714,0.038834951456310676,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,2,3,1.0,55,186,426,0.04164222873900293
0.19636363636363635,0.018018018018018018,0.5714285714285714,0.034934497816593885,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,3,1,1.0,55,427,802,0.034149457100276774
0.24363636363636362,0.019138755980861243,0.5714285714285714,0.037037037037037035,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,3,2,1.0,55,427,802,0.034149457100276774
0.26181818181818184,0.0196078431372549,0.5714285714285714,0.037914691943127965,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,3,3,1.0,55,427,802,0.034149457100276774
0.19272727272727272,0.017937219730941704,0.5714285714285714,0.034782608695652174,original,BATADAL,param_search,42,3,4,probabilistic_suffix_tree,4,1,1.0,55,803,1338,0.030295482848409373
