scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
gaussian_noise,0.4561842062034863,0.09346921235456107,0.35096171282190836,0.06762692018280887,0.6986039687924959,0.3567845604320237,0.43617132284783394,0.17211092583333354,1.2,0.7637626158259734
original,0.4531853195727233,0.09208000239578103,0.34583732827657476,0.0741920117165851,0.6994242045868524,0.35768148410706485,0.43449806835772703,0.17491264427297853,1.2,0.7637626158259734
unseen_data,0.14,0.229128784747792,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.7637626158259734
