dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.01,backoff,0.2917073170731707,0.012626516200531481,0.04478487651706427,0.0026346444932562126,0.9714285714285713,0.063887656499994,0.08562131033684454,0.005053561899240046,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.01,uniform,0.42536585365853663,0.013089178404876826,0.04140711129435596,0.0009220009323753032,0.7142857142857143,0.0,0.07827492751050358,0.001647222531634724,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.01,unigram,0.3697560975609756,0.015192596587704835,0.04334895442424687,0.0032251012490062494,0.8285714285714285,0.06388765649999395,0.08238574522190668,0.00612487843479074,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.05,backoff,0.344390243902439,0.014470631194332994,0.04305703701561951,0.0009065274096744289,0.8571428571428571,0.0,0.08199386743287561,0.0016445602209171708,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.05,uniform,0.6419512195121951,0.01272039493698079,0.060848086055263005,0.011803933732619667,0.6571428571428571,0.12777531299998798,0.11137658973955948,0.021587317920063277,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.05,unigram,0.4282926829268293,0.01353603602488939,0.04161502656706196,0.0009579349918395941,0.7142857142857143,0.0,0.0786462078305836,0.0017109579143336016,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.1,backoff,0.4136585365853659,0.014388176784148896,0.04060271724643476,0.0009557566024887843,0.7142857142857143,0.0,0.07683595304910082,0.001712908587219676,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.1,uniform,0.6692682926829269,0.01112366268389404,0.0657376283846872,0.012871894353354174,0.6571428571428571,0.12777531299998798,0.11951558989533673,0.023373710422898323,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.1,unigram,0.5609756097560975,0.011948730452600826,0.05188735614267529,0.0053229072314815995,0.6857142857142857,0.063887656499994,0.0964722645207925,0.009820600833443943,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,0.5,backoff,0.5599999999999999,0.011646181840305655,0.05177031858789145,0.005259308451659731,0.6857142857142857,0.063887656499994,0.09627000419872186,0.009710516250256797,0.023245060949978982,366.0,553.0
