dataset,model,fold_count,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
SKAB,GRU,5,0.9020254665767944,0.037564677274830746,0.9132306981814701,0.12228381070650833,0.822581181126192,0.08650885512890591,0.8566036919107457,0.046888130400615964
SKAB,LSTM,5,0.8973311374534102,0.03512591058580442,0.8911289168531653,0.12691649826902016,0.8334247252857923,0.07591451968840697,0.8527597089129342,0.0419260935289895
