method,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
baseline_single_threshold,gaussian_noise,0.4405340541816793,0.07387803530061322,0.376663338758091,0.044756545762323754,0.8159625461285398,0.20913512696916245,0.5070813158259362,0.07917437856606281,1.44,0.916515138991168
baseline_single_threshold,original,0.44022784071630466,0.07277733248864844,0.3765713268520761,0.042648182100840835,0.8161529849487245,0.20846171841076805,0.5069074496309881,0.0779169931593664,1.48,0.9183318209303942
baseline_single_threshold,unseen_data,0.12,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.9183318209303942
dual_threshold_hysteresis,gaussian_noise,0.47949917565856126,0.05923824428194769,0.38959228544155783,0.04001439817578168,0.7361967096133685,0.10869576481822829,0.5072747854727768,0.05053741289859985,1.44,0.916515138991168
dual_threshold_hysteresis,original,0.48022941146172243,0.061116580297078546,0.3905179356506163,0.041070167461295874,0.737871475065792,0.10909954049673516,0.5082765445711162,0.05069945443727537,1.48,0.9183318209303942
dual_threshold_hysteresis,unseen_data,0.2,0.3818813079129867,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.9183318209303942
