search_stage,merge_alpha,min_state_count,smoothing_alpha,max_pattern_distance,distance_penalty,reliability_constant,threshold,normal_states_before,normal_states_after,anomaly_states_before,anomaly_states_after,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_unique_score_count,validation_predicted_anomaly_count,validation_normal_score_mean,validation_anomaly_score_mean,validation_score_mean_gap,validation_mapping_disagreement_count,validation_normal_distance_mean,validation_anomaly_distance_mean,validation_reliability_mean,validation_shared_support_mean
state_merging,0.01,2,0.1,,0.0,0.0,-6.264792017349699,49,15,42,18,0.11764705882352941,0.06735751295336788,1.0,0.1262135922330097,72,193,-0.7096494810705527,-1.7412052014083836,-1.031555720337831,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,2,0.5,,0.0,0.0,-4.620095836204767,49,15,42,18,0.08823529411764706,0.06532663316582915,1.0,0.12264150943396226,72,199,-0.49400117131270266,-1.3070919769429763,-0.8130908056302737,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,2,1.0,,0.0,0.0,-3.891820298110626,49,15,42,18,0.08823529411764706,0.06532663316582915,1.0,0.12264150943396226,69,199,-0.4095571772496508,-1.1426580209502557,-0.7331008437006049,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,5,0.1,,0.0,0.0,-5.175550643171775,49,36,42,32,0.10784313725490197,0.06666666666666667,1.0,0.125,79,195,0.005384127649836877,-1.6176524788407483,-1.6230366064905852,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,5,0.5,,0.0,0.0,-3.483620785190124,49,36,42,32,0.10784313725490197,0.06666666666666667,1.0,0.125,79,195,0.004157990606536729,-0.8419043392737463,-0.8460623298802831,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,5,1.0,,0.0,0.0,-1.5595660823939275,49,36,42,32,0.18627450980392157,0.06779661016949153,0.9230769230769231,0.12631578947368421,79,177,0.00921343999622671,-0.5392612247297457,-0.5484746647259724,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,10,0.1,,0.0,0.0,-3.062787785700716,49,43,42,39,0.20098039215686275,0.06896551724137931,0.9230769230769231,0.12834224598930483,84,174,-0.13829482048253358,-1.230654255821666,-1.0923594353391324,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,10,0.5,,0.0,0.0,-2.091165005375895,49,43,42,39,0.18627450980392157,0.06779661016949153,0.9230769230769231,0.12631578947368421,81,177,-0.09368188454734472,-0.5835991156943504,-0.4899172311470057,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.01,10,1.0,,0.0,0.0,-1.5841201044498106,49,43,42,39,0.18627450980392157,0.06779661016949153,0.9230769230769231,0.12631578947368421,82,177,-0.07297527346245185,-0.3424945088072592,-0.2695192353448073,140,0.44607843137254904,0.45098039215686275,,
state_merging,0.05,2,0.1,,0.0,0.0,-3.4096104331964368,49,18,42,20,0.21568627450980393,0.07017543859649122,0.9230769230769231,0.13043478260869565,82,171,-0.08836291387675918,-1.2079839401410242,-1.119621026264265,140,0.44607843137254904,0.45098039215686275,,
