dataset,model,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,selected_threshold,validation_f1,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_state_merging,2,123,original,4,3,0.01,2,0.1,0.005264684930561092,0.5267175572519084,StratifiedGroupKFold,1,11,2,3,1110,398,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,0.5342342342342342,0.33608815426997246,0.3065326633165829,0.32063074901445465
SKAB,dual_alergia_state_merging,2,123,gaussian_noise,4,3,0.01,2,0.1,0.005264684930561092,0.5267175572519084,StratifiedGroupKFold,1,11,2,3,1110,398,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,0.5333333333333333,0.33516483516483514,0.3065326633165829,0.32020997375328086
SKAB,dual_alergia_state_merging,2,123,unseen_data,4,3,0.01,2,0.1,0.005264684930561092,0.5267175572519084,StratifiedGroupKFold,1,11,2,3,2,0,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,1.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,2,2026,original,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5711711711711712,0.1953125,0.06281407035175879,0.09505703422053231
SKAB,dual_alergia_state_merging,2,2026,gaussian_noise,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5801801801801801,0.211864406779661,0.06281407035175879,0.09689922480620156
SKAB,dual_alergia_state_merging,2,2026,unseen_data,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,2,0,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,2,7,original,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5711711711711712,0.1953125,0.06281407035175879,0.09505703422053231
SKAB,dual_alergia_state_merging,2,7,gaussian_noise,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5783783783783784,0.2222222222222222,0.07035175879396985,0.10687022900763359
SKAB,dual_alergia_state_merging,2,7,unseen_data,4,3,0.1,5,0.5,0.014406319205962761,0.5506072874493927,StratifiedGroupKFold,5,10,3,3,2,0,2,37,22,44,0.09090909090909091,31,14,34,0.17346938775510204,68,36,78,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,2,999,original,4,3,0.01,2,0.1,-7.008784171499586,0.5274336283185841,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,dual_alergia_state_merging,2,999,gaussian_noise,4,3,0.01,2,0.1,-7.008784171499586,0.5274336283185841,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,dual_alergia_state_merging,2,999,unseen_data,4,3,0.01,2,0.1,-7.008784171499586,0.5274336283185841,StratifiedGroupKFold,5,10,3,3,2,0,2,37,16,37,0.14453125,31,10,27,0.27,68,26,64,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,42,original,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.6057605760576058,0.46,0.5778894472361809,0.512249443207127
SKAB,dual_alergia_state_merging,3,42,gaussian_noise,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.6048604860486049,0.45790554414784396,0.5603015075376885,0.503954802259887
SKAB,dual_alergia_state_merging,3,42,unseen_data,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1,0,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,123,original,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1111,398,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.42664266426642666,0.3708108108108108,0.8618090452261307,0.5185185185185185
SKAB,dual_alergia_state_merging,3,123,gaussian_noise,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1111,398,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.42844284428442847,0.3702081051478642,0.8492462311557789,0.5156369183829138
SKAB,dual_alergia_state_merging,3,123,unseen_data,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1,0,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,2026,original,4,3,0.1,5,0.1,-2.7661907477601213,0.5304659498207885,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,22,41,0.08471074380165289,31,15,36,0.16,69,37,77,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,dual_alergia_state_merging,3,2026,gaussian_noise,4,3,0.1,5,0.1,-2.7661907477601213,0.5304659498207885,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,22,41,0.08471074380165289,31,15,36,0.16,69,37,77,0.35913591359135916,0.35855855855855856,1.0,0.5278514588859416
SKAB,dual_alergia_state_merging,3,2026,unseen_data,4,3,0.1,5,0.1,-2.7661907477601213,0.5304659498207885,StratifiedGroupKFold,5,10,3,3,1,0,1,38,22,41,0.08471074380165289,31,15,36,0.16,69,37,77,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,7,original,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1111,398,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.42664266426642666,0.3708108108108108,0.8618090452261307,0.5185185185185185
SKAB,dual_alergia_state_merging,3,7,gaussian_noise,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1111,398,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.43294329432943296,0.37363834422657954,0.8618090452261307,0.5212765957446809
SKAB,dual_alergia_state_merging,3,7,unseen_data,4,3,0.05,2,0.1,-0.0948659230424429,0.5327102803738317,StratifiedGroupKFold,1,11,2,3,1,0,1,38,20,43,0.1075,31,9,27,0.3333333333333333,69,29,70,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,3,999,original,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.6057605760576058,0.46,0.5778894472361809,0.512249443207127
SKAB,dual_alergia_state_merging,3,999,gaussian_noise,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.6138613861386139,0.4685598377281947,0.5804020100502513,0.5185185185185185
SKAB,dual_alergia_state_merging,3,999,unseen_data,4,3,0.01,5,0.1,0.023053437022547953,0.5913705583756346,StratifiedGroupKFold,5,10,3,3,1,0,1,38,19,41,0.11357340720221606,31,10,30,0.3,69,29,71,0.0,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,4,42,original,4,3,0.01,10,0.1,-0.6256956726897647,0.5269784172661871,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4100456621004566,0.38984674329501917,0.9783653846153846,0.5575342465753425
SKAB,dual_alergia_state_merging,4,42,gaussian_noise,4,3,0.01,10,0.1,-0.6256956726897647,0.5269784172661871,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4063926940639269,0.3879310344827586,0.9735576923076923,0.5547945205479452
SKAB,dual_alergia_state_merging,4,42,unseen_data,4,3,0.01,10,0.1,-0.6256956726897647,0.5269784172661871,StratifiedGroupKFold,1,11,2,3,2,0,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,4,123,original,4,3,0.05,10,1.0,-0.035899747519093625,0.5647517039922103,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,26,53,0.07840236686390532,30,22,47,0.09710743801652892,67,48,100,0.4894977168949772,0.42099447513812155,0.9158653846153846,0.5768357305071915
SKAB,dual_alergia_state_merging,4,123,gaussian_noise,4,3,0.05,10,1.0,-0.035899747519093625,0.5647517039922103,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,26,53,0.07840236686390532,30,22,47,0.09710743801652892,67,48,100,0.4894977168949772,0.42099447513812155,0.9158653846153846,0.5768357305071915
SKAB,dual_alergia_state_merging,4,123,unseen_data,4,3,0.05,10,1.0,-0.035899747519093625,0.5647517039922103,StratifiedGroupKFold,1,11,2,3,2,0,2,37,26,53,0.07840236686390532,30,22,47,0.09710743801652892,67,48,100,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,4,2026,original,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4465753424657534,0.40124740124740127,0.9278846153846154,0.5602322206095791
SKAB,dual_alergia_state_merging,4,2026,gaussian_noise,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4547945205479452,0.4054336468129572,0.9326923076923077,0.5651857246904588
SKAB,dual_alergia_state_merging,4,2026,unseen_data,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,2,0,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_state_merging,4,7,original,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4465753424657534,0.40124740124740127,0.9278846153846154,0.5602322206095791
SKAB,dual_alergia_state_merging,4,7,gaussian_noise,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,1095,416,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.4484018264840183,0.4024896265560166,0.9326923076923077,0.5623188405797102
SKAB,dual_alergia_state_merging,4,7,unseen_data,4,3,0.01,10,0.1,-0.07849627397162195,0.536986301369863,StratifiedGroupKFold,1,11,2,3,2,0,2,37,23,49,0.09262759924385633,30,21,45,0.10204081632653061,67,44,94,0.5,0.0,0.0,0.0
