dataset,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,transition_confidence_mode,transition_confidence_k,transition_confidence_weight,transition_confidence_use_transition_count,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,1.0,0.05,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,1.0,0.1,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,2.0,0.05,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,2.0,0.1,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,5.0,0.05,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,5.0,0.1,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,10.0,0.05,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,10.0,0.1,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,20.0,0.05,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,additive,20.0,0.1,True,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,20.0,0.5,True,0.5925300389141004,0.15027279639075541,0.49580877833428366,0.19827288956234237,0.6045006811143315,0.31370423809119513,0.49417550009626005,0.18275916460409822,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,10.0,0.5,True,0.5930619071828944,0.15115928278810475,0.4960271863096202,0.19953309836482286,0.6034981748486674,0.31490330416385803,0.4939948798144023,0.1845356323259446,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,20.0,0.25,True,0.5930619071828944,0.15115928278810475,0.4962682993824285,0.19967725127249172,0.6020056375352346,0.3137443329976862,0.49362491725109026,0.18409157501776063,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,5.0,0.5,True,0.5925318442139301,0.15014957006696394,0.4951340050775681,0.1985083025895814,0.5995043719023243,0.314492486053736,0.49160371114393064,0.18445558261417558,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,10.0,0.25,True,0.5925318442139301,0.15014957006696394,0.4951340050775681,0.1985083025895814,0.5995043719023243,0.314492486053736,0.49160371114393064,0.18445558261417558,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,20.0,0.1,True,0.59307289406434,0.14950354342407682,0.49518827442674285,0.19866206879342074,0.5990031187694923,0.3150894552639307,0.4914636896084885,0.18490558481935565,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,1.0,0.05,True,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,1.0,0.1,True,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,1.0,0.25,True,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,additive,2.0,0.05,True,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
