scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
gaussian_noise,0.4955306985773034,0.09158960614734635,0.393449605448977,0.05024698124518573,0.6788179172008354,0.28774548180411025,0.46817721736572826,0.12748709907828934,1.44,0.916515138991168
original,0.49160710144848907,0.08925385444551745,0.3882422977504109,0.05153666187730754,0.6783368194041597,0.28803292818910997,0.46613117076159527,0.12845372177722164,1.48,0.9183318209303942
unseen_data,0.28,0.458257569495584,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.9183318209303942
