accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,num_states,vocab_size,num_transitions,transition_density
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,original,BATADAL,markov_sweep,42,4,3,2,0.08,184,65,301,0.02516722408026756
0.12682926829268293,0.03763440860215054,1.0,0.07253886010362694,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.08,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.08,184,65,301,0.02516722408026756
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,original,BATADAL,markov_sweep,123,4,3,2,0.08,184,65,301,0.02516722408026756
0.12682926829268293,0.03260869565217391,0.8571428571428571,0.06282722513089005,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.08,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.08,184,65,301,0.02516722408026756
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,original,BATADAL,markov_sweep,2026,4,3,2,0.08,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.08,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.08,184,65,301,0.02516722408026756
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,original,BATADAL,markov_sweep,7,4,3,2,0.08,184,65,301,0.02516722408026756
0.12682926829268293,0.03763440860215054,1.0,0.07253886010362694,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.08,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.08,184,65,301,0.02516722408026756
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,original,BATADAL,markov_sweep,999,4,3,2,0.08,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.08,184,65,301,0.02516722408026756
0.125,0.06666666666666667,1.0,0.125,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.08,184,65,301,0.02516722408026756
0.14634146341463414,0.038461538461538464,1.0,0.07407407407407407,original,BATADAL,markov_sweep,42,4,3,2,0.07,184,65,301,0.02516722408026756
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.07,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.07,184,65,301,0.02516722408026756
0.14634146341463414,0.038461538461538464,1.0,0.07407407407407407,original,BATADAL,markov_sweep,123,4,3,2,0.07,184,65,301,0.02516722408026756
0.17073170731707318,0.03428571428571429,0.8571428571428571,0.06593406593406594,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.07,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.07,184,65,301,0.02516722408026756
0.14634146341463414,0.038461538461538464,1.0,0.07407407407407407,original,BATADAL,markov_sweep,2026,4,3,2,0.07,184,65,301,0.02516722408026756
0.15609756097560976,0.03888888888888889,1.0,0.0748663101604278,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.07,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.07,184,65,301,0.02516722408026756
0.14634146341463414,0.038461538461538464,1.0,0.07407407407407407,original,BATADAL,markov_sweep,7,4,3,2,0.07,184,65,301,0.02516722408026756
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.07,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.07,184,65,301,0.02516722408026756
0.14634146341463414,0.038461538461538464,1.0,0.07407407407407407,original,BATADAL,markov_sweep,999,4,3,2,0.07,184,65,301,0.02516722408026756
0.15609756097560976,0.03888888888888889,1.0,0.0748663101604278,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.07,184,65,301,0.02516722408026756
