dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,5.0,uniform,0.9307317073170733,0.009383114176425034,0.23868131868131867,0.08946913628806831,0.48571428571428565,0.19166296949998196,0.3195355978880007,0.1213511939591177,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,7.5,uniform,0.9463414634146341,0.01144003843859369,0.31212121212121213,0.12090871117127275,0.48571428571428565,0.19166296949998196,0.37963536291709665,0.14750094975600908,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,10.0,uniform,0.9258536585365855,0.009383114176425062,0.179010989010989,0.10179407434042897,0.34285714285714286,0.19166296949998196,0.2348462064251538,0.1322612062159589,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,15.0,uniform,0.9239024390243904,0.009509067653472168,0.1732142857142857,0.09934415032643659,0.34285714285714286,0.19166296949998196,0.22961752206603464,0.12982699610460538,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,20.0,uniform,0.9239024390243904,0.009509067653472168,0.1732142857142857,0.09934415032643659,0.34285714285714286,0.19166296949998196,0.22961752206603464,0.12982699610460538,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.912,,True,30.0,uniform,0.9287804878048782,0.009509067653472132,0.2319306184012066,0.08695614687755221,0.48571428571428565,0.19166296949998196,0.3131738437001595,0.11860119260443712,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,5.0,uniform,0.96,0.002181529734146131,0.26666666666666666,0.14907119849998596,0.11428571428571428,0.06388765649999399,0.16,0.0894427190999916,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,7.5,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,10.0,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,15.0,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,20.0,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.2,,True,30.0,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,5.0,uniform,0.9648780487804878,0.002181529734146131,0.4,0.22360679774997896,0.11428571428571428,0.06388765649999399,0.17777777777777776,0.09938079899999065,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,4.5,,True,7.5,uniform,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
