scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,num_contexts_mean,transition_density_mean
gaussian_noise,0.25170731707317073,0.011230111642167175,0.036707458285276065,0.0027711752338905617,0.8285714285714285,0.06388765649999395,0.07029994648269994,0.005307538726961011,367.0,0.025906518549570316
original,0.25365853658536586,0.0,0.0379746835443038,0.0,0.8571428571428571,0.0,0.07272727272727272,0.0,367.0,0.025906518549570316
unseen_data,0.3125,0.0,0.08333333333333333,0.0,1.0,0.0,0.15384615384615385,0.0,367.0,0.025906518549570316
