dataset,model,ma_window,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
BATADAL,GRU,3,0.93390452876377,0.030513955599309472,0.44632566069906227,0.40817521201612217,0.5,0.46511087387847644,0.46981690477564453,0.43140559489556335
BATADAL,GRU,5,0.9314565483476132,0.03640213551520951,0.5923727482163816,0.1988572693045196,0.6799999999999999,0.3836095019678214,0.617046022127521,0.28633398832229845
BATADAL,GRU,7,0.9414932680538556,0.03335682107588478,0.5939915014501872,0.3418065665428919,0.5875,0.4506072291918984,0.5635521615835352,0.39190475117260576
BATADAL,LSTM,3,0.9216646266829865,0.04866034610008376,0.4941771865292033,0.32615432609696554,0.44000000000000006,0.44470847192289914,0.4467699710695633,0.4029338381424601
BATADAL,LSTM,5,0.9263157894736842,0.030957516910324213,0.4010455675446948,0.3714102017881147,0.5725,0.5235396355578057,0.46927196459454523,0.4296267053850589
BATADAL,LSTM,7,0.9314565483476132,0.031073444981116524,0.5982527264106212,0.348951262569815,0.4925,0.4427894533522676,0.4747807048715579,0.4011086090355547
