dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,time_decay_enabled,time_decay_rate,time_decay_min_weight,time_decay_candidate,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,False,0.99,0.01,base_disabled,0.8585365853658538,0.01090764867073069,0.12264932776612421,0.027465513735784323,0.5142857142857142,0.12777531299998798,0.19785095537417519,0.04481836427445931,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.95,0.001,decay_rate_0.95_min_0.001,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.95,0.01,decay_rate_0.95_min_0.01,0.0448780487804878,0.0021815297341461386,0.034516899965858654,7.634236864116975e-05,1.0,0.0,0.06673046251993621,0.00014265186459329004,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.95,0.05,decay_rate_0.95_min_0.05,0.13170731707317074,0.013797205486566782,0.03579175349318356,0.004515574389949596,0.9428571428571428,0.12777531299998798,0.06896479280380209,0.008722113323607446,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.98,0.001,decay_rate_0.98_min_0.001,0.04390243902439024,0.0,0.034482758620689655,0.0,1.0,0.0,0.06666666666666667,0.0,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.98,0.01,decay_rate_0.98_min_0.01,0.04682926829268293,0.0065445892024384115,0.03458620689655172,0.00023131737698273844,1.0,0.0,0.06685990338164252,0.0004320904304347395,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.98,0.05,decay_rate_0.98_min_0.05,0.13170731707317074,0.013797205486566782,0.03579175349318356,0.004515574389949596,0.9428571428571428,0.12777531299998798,0.06896479280380209,0.008722113323607446,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.99,0.001,decay_rate_0.99_min_0.001,0.04780487804878049,0.008726118936584547,0.03462138277594871,0.0003099730344827299,1.0,0.0,0.06692556634304207,0.000578917275728101,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.99,0.01,decay_rate_0.99_min_0.01,0.04878048780487805,0.010907648670730685,0.0346569139672588,0.00038942319357362974,1.0,0.0,0.06699186991869918,0.0007271765780487169,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.99,0.05,decay_rate_0.99_min_0.05,0.1326829268292683,0.0126265162005315,0.035831575998588036,0.0045323206131704305,0.9428571428571428,0.12777531299998798,0.06903880813554938,0.008753646398216373,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.995,0.001,decay_rate_0.995_min_0.001,0.06731707317073171,0.00408126842211744,0.035318364884979685,0.00014928513479572596,1.0,0.0,0.06822702938622763,0.0002785345220814523,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.995,0.01,decay_rate_0.995_min_0.01,0.06731707317073171,0.00408126842211744,0.035318364884979685,0.00014928513479572596,1.0,0.0,0.06822702938622763,0.0002785345220814523,0.023245060949978982,366.0,553.0
BATADAL,gaussian_noise,3,0.1,avg_negative_log,5,3.5066,,True,0.995,0.05,decay_rate_0.995_min_0.05,0.14048780487804877,0.01595651437443525,0.0361450270071498,0.004552396299198756,0.9428571428571428,0.12777531299998798,0.06962015077793288,0.008789810744257462,0.023245060949978982,366.0,553.0
