accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,transition_confidence_enabled,transition_confidence_k,transition_confidence_weight,transition_confidence_mode,transition_confidence_use_transition_count,num_states,vocab_size,num_transitions,transition_density
0.8926829268292683,0.17391304347826086,0.5714285714285714,0.26666666666666666,gaussian_noise,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,original,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.8829268292682927,0.09523809523809523,0.2857142857142857,0.14285714285714285,gaussian_noise,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,transition_confidence_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,original,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.8878048780487805,0.16666666666666666,0.5714285714285714,0.25806451612903225,gaussian_noise,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,transition_confidence_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,original,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,gaussian_noise,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,transition_confidence_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9024390243902439,0.19047619047619047,0.5714285714285714,0.2857142857142857,original,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.8780487804878049,0.15384615384615385,0.5714285714285714,0.24242424242424243,gaussian_noise,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,transition_confidence_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,1.0,0.5,additive,True,366,65,553,0.023245060949978982
0.9414634146341463,0.3076923076923077,0.5714285714285714,0.4,original,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,2.0,0.05,additive,True,366,65,553,0.023245060949978982
0.9317073170731708,0.26666666666666666,0.5714285714285714,0.36363636363636365,gaussian_noise,BATADAL,transition_confidence_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,True,2.0,0.05,additive,True,366,65,553,0.023245060949978982
