accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,time_decay_enabled,time_decay_rate,time_decay_min_weight,time_decay_candidate,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,num_states,vocab_size,num_transitions,transition_density
0.8731707317073171,0.14814814814814814,0.5714285714285714,0.23529411764705882,original,BATADAL,time_decay_sweep,42,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8634146341463415,0.13793103448275862,0.5714285714285714,0.2222222222222222,gaussian_noise,BATADAL,time_decay_sweep,42,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,time_decay_sweep,42,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8731707317073171,0.14814814814814814,0.5714285714285714,0.23529411764705882,original,BATADAL,time_decay_sweep,123,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8585365853658536,0.07692307692307693,0.2857142857142857,0.12121212121212122,gaussian_noise,BATADAL,time_decay_sweep,123,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,time_decay_sweep,123,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8731707317073171,0.14814814814814814,0.5714285714285714,0.23529411764705882,original,BATADAL,time_decay_sweep,2026,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8536585365853658,0.12903225806451613,0.5714285714285714,0.21052631578947367,gaussian_noise,BATADAL,time_decay_sweep,2026,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,time_decay_sweep,2026,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8731707317073171,0.14814814814814814,0.5714285714285714,0.23529411764705882,original,BATADAL,time_decay_sweep,7,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.8731707317073171,0.14814814814814814,0.5714285714285714,0.23529411764705882,gaussian_noise,BATADAL,time_decay_sweep,7,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
0.5625,0.125,1.0,0.2222222222222222,unseen_data,BATADAL,time_decay_sweep,7,4,3,3,0.05,0.1,False,0.99,0.01,base_disabled,avg_negative_log,3.5066,,5,,366,65,553,0.023245060949978982
