scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std
gaussian_noise,0.501856646224537,0.04997141364057468,0.4909731647371465,0.03302225872698022,0.8006366369228616,0.1514673477921358,0.6049176580926124,0.05886320988842255
original,0.505179864471169,0.049977982222583615,0.49375521404826417,0.033871253145100165,0.7951979150939337,0.1488635096527865,0.6051387528033543,0.05654062308384733
unseen_data,0.4328688405559674,0.1108567198862947,0.4328688405559674,0.1108567198862947,1.0,0.0,0.5959436316848213,0.11120565188497106
