dataset,model,fold,seed,scenario,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,validation_f1,validation_recall,validation_recall_constraint_met,selected_pair_shared_parameters,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,class_specific_dual_alergia,2,42,original,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,2,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,0.5495495495495496,0.43478260869565216,0.8542713567839196,0.576271186440678
SKAB,class_specific_dual_alergia,2,42,gaussian_noise,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,2,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,0.5387387387387388,0.4269230769230769,0.8366834170854272,0.565365025466893
SKAB,class_specific_dual_alergia,2,42,unseen_data,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,2,123,original,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,2,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,0.5495495495495496,0.43478260869565216,0.8542713567839196,0.576271186440678
SKAB,class_specific_dual_alergia,2,123,gaussian_noise,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1110,398,1,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,0.5540540540540541,0.4375804375804376,0.8542713567839196,0.5787234042553191
SKAB,class_specific_dual_alergia,2,123,unseen_data,4,3,0.01,5,0.1,0.01,2,1.0,0.0,0.5,-0.06040912779556007,12,0.542016806722689,0.8805460750853242,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,36,18,39,0.12037037037037036,31,7,19,0.3877551020408163,67,25,58,1.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,2,2026,original,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,class_specific_dual_alergia,2,2026,gaussian_noise,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,class_specific_dual_alergia,2,2026,unseen_data,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,2,0,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,2,7,original,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,class_specific_dual_alergia,2,7,gaussian_noise,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.35855855855855856,0.35855855855855856,1.0,0.5278514588859416
SKAB,class_specific_dual_alergia,2,7,unseen_data,4,3,0.01,2,0.1,0.1,2,0.1,0.0,0.0,-3.7832251276716504,1,0.5282685512367491,1.0,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,2,0,2,37,13,33,0.1952662721893491,29,12,37,0.2569444444444444,66,25,70,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,2,999,original,4,3,0.01,2,0.1,0.01,2,0.1,0.0,0.0,-2.3870030198070427,10,0.5350553505535055,0.9731543624161074,True,True,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69,0.36126126126126124,0.35953026196928634,1.0,0.5289036544850498
SKAB,class_specific_dual_alergia,2,999,gaussian_noise,4,3,0.01,2,0.1,0.01,2,0.1,0.0,0.0,-2.3870030198070427,10,0.5350553505535055,0.9731543624161074,True,True,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1110,398,2,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69,0.36036036036036034,0.3589511754068716,0.9974874371859297,0.5279255319148937
SKAB,class_specific_dual_alergia,2,999,unseen_data,4,3,0.01,2,0.1,0.01,2,0.1,0.0,0.0,-2.3870030198070427,10,0.5350553505535055,0.9731543624161074,True,True,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,2,0,2,37,14,36,0.1836734693877551,29,12,33,0.22916666666666666,66,26,69,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,3,42,original,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.6138613861386139,0.46790890269151136,0.5678391959798995,0.5130533484676504
SKAB,class_specific_dual_alergia,3,42,gaussian_noise,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1111,398,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.6165616561656165,0.4704641350210971,0.5603015075376885,0.5114678899082569
SKAB,class_specific_dual_alergia,3,42,unseen_data,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313915,1,0.601078167115903,0.745819397993311,True,False,inner_train_calibrated,StratifiedGroupKFold,5,10,3,3,1,0,1,38,23,51,0.09640831758034027,30,18,40,0.12345679012345678,68,41,91,0.0,0.0,0.0,0.0
SKAB,class_specific_dual_alergia,3,123,original,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,0.5426515930113053,0.8979591836734694,True,False,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1111,398,1,36,15,36,0.16,31,24,51,0.08854166666666667,67,39,87,0.49954995499549953,0.39266304347826086,0.7261306532663316,0.5097001763668431
