accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,num_states,vocab_size,num_transitions,transition_density
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,7,4,3,2,0.005,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.005,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.005,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,999,4,3,2,0.005,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.005,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.005,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,42,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,42,4,3,2,0.001,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,42,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,123,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,123,4,3,2,0.001,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,123,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,2026,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,2026,4,3,2,0.001,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,2026,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,7,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,7,4,3,2,0.001,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,7,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,original,BATADAL,markov_sweep,999,4,3,2,0.001,184,65,301,0.02516722408026756
0.9658536585365853,0.0,0.0,0.0,gaussian_noise,BATADAL,markov_sweep,999,4,3,2,0.001,184,65,301,0.02516722408026756
0.9375,0.0,0.0,0.0,unseen_data,BATADAL,markov_sweep,999,4,3,2,0.001,184,65,301,0.02516722408026756
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,original,BATADAL,markov_sweep,42,4,3,3,0.05,366,65,553,0.023245060949978982
0.17560975609756097,0.03977272727272727,1.0,0.07650273224043716,gaussian_noise,BATADAL,markov_sweep,42,4,3,3,0.05,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,markov_sweep,42,4,3,3,0.05,366,65,553,0.023245060949978982
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,original,BATADAL,markov_sweep,123,4,3,3,0.05,366,65,553,0.023245060949978982
0.17560975609756097,0.029069767441860465,0.7142857142857143,0.055865921787709494,gaussian_noise,BATADAL,markov_sweep,123,4,3,3,0.05,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,markov_sweep,123,4,3,3,0.05,366,65,553,0.023245060949978982
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,original,BATADAL,markov_sweep,2026,4,3,3,0.05,366,65,553,0.023245060949978982
0.18048780487804877,0.04,1.0,0.07692307692307693,gaussian_noise,BATADAL,markov_sweep,2026,4,3,3,0.05,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,markov_sweep,2026,4,3,3,0.05,366,65,553,0.023245060949978982
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,original,BATADAL,markov_sweep,7,4,3,3,0.05,366,65,553,0.023245060949978982
0.18048780487804877,0.04,1.0,0.07692307692307693,gaussian_noise,BATADAL,markov_sweep,7,4,3,3,0.05,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,markov_sweep,7,4,3,3,0.05,366,65,553,0.023245060949978982
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,original,BATADAL,markov_sweep,999,4,3,3,0.05,366,65,553,0.023245060949978982
0.17073170731707318,0.03954802259887006,1.0,0.07608695652173914,gaussian_noise,BATADAL,markov_sweep,999,4,3,3,0.05,366,65,553,0.023245060949978982
0.4375,0.1,1.0,0.18181818181818182,unseen_data,BATADAL,markov_sweep,999,4,3,3,0.05,366,65,553,0.023245060949978982
0.9609756097560975,0.0,0.0,0.0,original,BATADAL,markov_sweep,42,4,3,3,0.01,366,65,553,0.023245060949978982
