dataset,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,3,0.1,avg_negative_log,5,3.912,1.0,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,2.0,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,3.0,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.1,avg_negative_log,5,3.912,,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,2,0.1,avg_negative_log,5,3.912,1.0,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.02516722408026756,184.0,301.0
SKAB,3,0.5,avg_negative_log,10,0.2231,1.0,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,2.0,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,3.0,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,3,0.5,avg_negative_log,10,0.2231,,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,2,1.0,avg_negative_log,10,0.2231,1.0,0.5939558076318731,0.1492349532902458,0.4951285082712365,0.19848458549555878,0.5939968281518178,0.3133695699495597,0.48987883718368785,0.18564654953652845,0.05312948588128903,104.8,198.0
