dataset,model,fold,threshold,accuracy,precision,recall,f1
BATADAL,LSTM,-,0.2,0.9632802937576499,0.7551020408163265,0.925,0.8314606741573034
BATADAL,GRU,-,0.1,0.9216646266829865,0.6290322580645161,0.4875,0.5492957746478874
