accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,model_variant,suffix_max_order,suffix_min_context_count,suffix_smoothing_alpha,anomaly_threshold,scoring_mode,pst_nll_epsilon,pst_score_window,num_states,num_contexts,num_transitions,transition_density
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_1,999,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,170,469,948,0.01189012918600276
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,original,SKAB,fold_2,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,gaussian_noise,SKAB,fold_2,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,42,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,original,SKAB,fold_2,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,gaussian_noise,SKAB,fold_2,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,123,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,original,SKAB,fold_2,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,gaussian_noise,SKAB,fold_2,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.0,0.0,0.0,0.0,unseen_data,SKAB,fold_2,2026,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,original,SKAB,fold_2,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
0.6103023516237402,0.4798206278026906,1.0,0.6484848484848484,gaussian_noise,SKAB,fold_2,7,5,5,probabilistic_suffix_tree,2,1,0.1,0.1053605,negative_log,1e-12,1,155,436,906,0.013406333234684818
