dataset,order,anomaly_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,2,0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.005,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.01,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02516722408026756,184.0,301.0
BATADAL,2,0.05,0.20487804878048782,0.0,0.041176470588235294,0.0,1.0,0.0,0.07909604519774012,0.0,0.02516722408026756,184.0,301.0
BATADAL,3,0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.005,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.01,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,3,0.05,0.17073170731707318,0.0,0.03954802259887006,0.0,1.0,0.0,0.07608695652173914,0.0,0.023245060949978982,366.0,553.0
BATADAL,4,0.001,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.005,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.01,0.9609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021832213094349018,618.0,877.0
BATADAL,4,0.05,0.14634146341463414,0.0,0.038461538461538464,0.0,1.0,0.0,0.07407407407407407,0.0,0.021832213094349018,618.0,877.0
SKAB,2,0.001,0.642580972851922,0.0029444192805924687,0.0,0.0,0.0,0.0,0.0,0.0,0.05312948588128903,104.8,198.0
SKAB,2,0.005,0.6441705884380245,0.006264603940687277,0.15555555555555556,0.3175264481385601,0.007017543859649122,0.014324501419784665,0.013429256594724222,0.027412355234983605,0.05312948588128903,104.8,198.0
SKAB,2,0.01,0.6443474230976178,0.006614712694625053,0.15238095238095237,0.31104631654389564,0.008020050125313283,0.01637085876546819,0.01523809523809524,0.031104631654389567,0.05312948588128903,104.8,198.0
SKAB,2,0.05,0.6475055355082158,0.016464916873857406,0.4387763473431781,0.32259933305913596,0.05257667188778139,0.08496560760003334,0.08201882260950333,0.12451404711486984,0.05312948588128903,104.8,198.0
SKAB,3,0.001,0.642580972851922,0.0029444192805924687,0.0,0.0,0.0,0.0,0.0,0.0,0.05091218372849919,233.6,423.2
SKAB,3,0.005,0.6436400844592447,0.005223150665936267,0.16363636363636364,0.3340213285613425,0.004511278195488721,0.009208608055575856,0.008780487804878048,0.0179230956789013,0.05091218372849919,233.6,423.2
SKAB,3,0.01,0.6434632497996514,0.004880009351913204,0.15,0.30618621784789724,0.004511278195488721,0.009208608055575856,0.008759124087591242,0.017879487173599842,0.05091218372849919,233.6,423.2
SKAB,3,0.05,0.6416089493123287,0.015381294322282184,0.48749554197555595,0.22616279766843717,0.06559304988193489,0.08116817340723083,0.10296039957463948,0.11320459828256467,0.05091218372849919,233.6,423.2
SKAB,4,0.001,0.642580972851922,0.0029444192805924687,0.0,0.0,0.0,0.0,0.0,0.0,0.04869467174957779,458.8,795.0
SKAB,4,0.005,0.6436400844592447,0.005223150665936267,0.17777777777777778,0.36288736930121157,0.0040100250626566416,0.008185429382734095,0.00784313725490196,0.016009736880935804,0.04869467174957779,458.8,795.0
SKAB,4,0.01,0.6425778167712517,0.0035530433295669446,0.10833333333333332,0.22113449066792576,0.006516290726817042,0.013301322746942904,0.012293144208037825,0.025093275536785906,0.04869467174957779,458.8,795.0
SKAB,4,0.05,0.6376424418489872,0.019414542223008896,0.4697932610097273,0.19927467479871644,0.07559566836844969,0.08197531075177483,0.11770511003787773,0.11165919451517232,0.04869467174957779,458.8,795.0
