feature,true_block_count,false_block_count,true_mean,false_mean,mean_difference,true_median,false_median,median_difference,roc_auc,promising_direction
block_length,191,504,58.382198952879584,6.625,51.757198952879584,3.0,2.0,1.0,0.6788622953544419,True
mean_margin,191,504,0.6160844250934766,0.5246209579734603,0.0914634671200163,0.35373664141439554,0.2664457159812682,0.08729092543312733,0.5217474860799468,False
median_margin,191,504,0.6189855290867724,0.5162427399934452,0.10274278909332724,0.41636555562827315,0.26311949303742366,0.1532460625908495,0.5154471037978892,False
max_margin,191,504,1.032829352130589,0.72661473903102,0.3062146130995689,0.43612045840252234,0.43612045840252234,0.0,0.5525482007811852,False
min_margin,191,504,0.27231005567236055,0.37368385218270456,-0.101373796510344,0.08346608178463577,0.11914300844415147,-0.035676926659515704,0.4888899276988282,False
sum_margin,191,504,68.05559201114967,3.0365749541099576,65.01901705703972,1.5050712992982995,0.6636536274174335,0.841417671880866,0.6586782182331922,True
margin_std,191,504,0.17809004382878565,0.13192401561787498,0.046166028210910676,0.07780857915774113,0.007157810951887444,0.07065076820585368,0.5861433142192305,False
top_quartile_margin_mean,191,504,0.7786701864346768,0.653009224072828,0.12566096236184876,0.4213042813218354,0.3631577365895071,0.058146544732328276,0.5241679132385939,False
strong_point_ratio,191,504,0.4938715002058644,0.5956788128193894,-0.10180731261352499,0.47992700729927007,0.6666666666666666,-0.18673965936739656,0.4337447020693095,False
