dataset,model,scenario,f1_mean,f1_std,recall_mean,recall_std,precision_mean,accuracy_mean
BATADAL,GRU,gaussian_noise,0.2879431798179608,0.25598382914822193,0.24,0.24596747752497686,0.4749996549409321,0.9069767441860466
BATADAL,GRU,unseen_data,0.2883108733489729,0.2552283668827847,0.2325,0.237598663716781,0.5472549019607843,0.5391304347826087
BATADAL,LSTM,gaussian_noise,0.6177675305618473,0.11282254417384033,0.7625,0.28270457194746607,0.5694667724633528,0.9116279069767442
BATADAL,LSTM,unseen_data,0.6447065488526537,0.12195652748715861,0.755,0.2918957433742397,0.6237437686649171,0.6149068322981367
