dataset,fold,seed,window_size,alphabet_size,normal_merge_alpha,normal_min_state_count,normal_smoothing_alpha,anomaly_merge_alpha,anomaly_min_state_count,anomaly_smoothing_alpha,normal_distance_penalty,anomaly_distance_penalty,selected_threshold,min_anomaly_run,selected_pair_shared_parameters,best_shared_pair_validation_f1,best_any_pair_validation_f1,final_validation_f1,final_validation_precision,final_validation_recall,validation_recall_constraint_met,validation_selection_mode,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,original_test_f1,original_test_precision,original_test_recall,generalization_gap,class_specific_validation_gain
SKAB,3,42,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313,1,False,0.5894206549118388,0.6010781671159028,0.601078167115903,0.5033860045146726,0.745819397993311,True,recall_constrained,0.5804306114865122,0.4625850340136054,0.0925394193905697,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,23,51,0.0964083175803402,30,18,40,0.1234567901234567,68,41,91,0.5130533484676504,0.4679089026915113,0.5678391959798995,-0.08802481864825262,0.011657512204063969
SKAB,3,123,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,False,0.5332086061739943,0.5338417540514776,0.5426515930113053,0.3888070692194403,0.8979591836734694,True,recall_constrained,0.5684807855943702,0.5183175033921302,0.0501632822022399,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,15,36,0.16,31,24,51,0.0885416666666666,67,39,87,0.5097001763668431,0.3926630434782608,0.7261306532663316,-0.03295141664446222,0.0006331478774832533
SKAB,3,2026,4,3,0.01,10,1.0,0.05,10,0.1,0.0,0.0,-1.8887517352153649,5,False,0.5290437890974083,0.5479833101529903,0.5284039675383229,0.3612823674475955,0.9832214765100672,True,recall_constrained,0.5280959286470446,0.52046783625731,0.0086932704878546,StratifiedGroupKFold,5,0.csv|1.csv|10.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv,13.csv|4.csv|8.csv,38,27,55,0.0754458161865569,28,24,50,0.0868055555555555,66,51,105,0.528,0.3593466424682395,0.9949748743718592,-0.00040396753832283583,0.018939521055581943
SKAB,3,7,4,3,0.01,2,0.5,0.01,10,1.0,0.0,0.0,-0.3817808650698087,12,False,0.5332086061739943,0.5338417540514776,0.5426515930113053,0.3888070692194403,0.8979591836734694,True,recall_constrained,0.5684807855943702,0.5183175033921302,0.0501632822022399,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,15,36,0.16,31,24,51,0.0885416666666666,67,39,87,0.5097001763668431,0.3926630434782608,0.7261306532663316,-0.03295141664446222,0.0006331478774832533
SKAB,3,999,4,3,0.1,5,0.1,0.01,5,1.0,0.0,0.0,-0.0045685111123313,1,False,0.5894206549118388,0.6010781671159028,0.601078167115903,0.5033860045146726,0.745819397993311,True,recall_constrained,0.5804306114865122,0.4625850340136054,0.0925394193905697,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,23,51,0.0964083175803402,30,18,40,0.1234567901234567,68,41,91,0.5130533484676504,0.4679089026915113,0.5678391959798995,-0.08802481864825262,0.011657512204063969
SKAB,4,42,4,3,0.01,5,1.0,0.05,10,0.5,0.0,0.5,-0.0061162270174361,5,False,0.5265049415992813,0.5284552845528456,0.5434543454345434,0.4022801302931596,0.8372881355932204,True,recall_constrained,0.5802179836512262,0.5204359673024523,0.0597820163487738,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|9.csv,35,16,35,0.13671875,31,26,53,0.0784023668639053,66,42,88,0.5950155763239875,0.4400921658986175,0.9182692307692308,0.05156123088944409,0.0019503429535643324
SKAB,4,123,4,3,0.01,5,1.0,0.05,2,0.1,0.0,2.0,-0.2064300703404691,7,False,0.5647517039922103,0.5672797676669894,0.5813492063492064,0.4109396914446003,0.9932203389830508,True,recall_constrained,0.6324807573738539,0.5204359673024523,0.1120447900714015,StratifiedGroupKFold,1,0.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,1.csv|10.csv,35,16,36,0.140625,31,10,32,0.32,66,26,68,0.5839080459770115,0.4285714285714285,0.9158653846153846,0.0025588396278051206,0.0025280636747790908
SKAB,4,2026,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.3875661375661375,0.9898648648648648,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.0591762285792487,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.1296296296296296,30,17,49,0.1695501730103806,65,35,91,0.5857260049220673,0.4445828144458281,0.8581730769230769,0.028691784389747843,0.003231207098610356
SKAB,4,7,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.3875661375661375,0.9898648648648648,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.0591762285792487,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.1296296296296296,30,17,49,0.1695501730103806,65,35,91,0.5857260049220673,0.4445828144458281,0.8581730769230769,0.028691784389747843,0.003231207098610356
SKAB,4,999,4,3,0.1,2,0.1,0.01,10,1.0,0.0,0.25,-0.1434021186888391,8,False,0.5363636363636364,0.5395948434622467,0.5570342205323194,0.3875661375661375,0.9898648648648648,True,recall_constrained,0.5803222040226321,0.5211459754433834,0.0591762285792487,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,18,42,0.1296296296296296,30,17,49,0.1695501730103806,65,35,91,0.5857260049220673,0.4445828144458281,0.8581730769230769,0.028691784389747843,0.003231207098610356
SKAB,5,42,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.1507148211608481,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.0815972222222222,29,24,46,0.0798611111111111,67,48,93,0.2246489859594383,0.3214285714285714,0.1726618705035971,-0.35682066260286205,0.00702272454730779
SKAB,5,123,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,False,0.5784114052953157,0.5849639546858908,0.6033057851239669,0.4332344213649852,0.9931972789115646,True,recall_constrained,0.6818189516470489,0.5228215767634855,0.1589973748835633,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,27,52,0.0713305898491083,29,23,46,0.0869565217391304,67,50,98,0.2444821731748726,0.4186046511627907,0.1726618705035971,-0.3588236119490943,0.006552549390575146
SKAB,5,2026,4,3,0.1,5,0.1,0.01,10,1.0,0.0,0.25,-0.5902535099916933,12,False,0.5784114052953157,0.5849639546858908,0.6033057851239669,0.4332344213649852,0.9931972789115646,True,recall_constrained,0.6818189516470489,0.5228215767634855,0.1589973748835633,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,27,52,0.0713305898491083,29,23,46,0.0869565217391304,67,50,98,0.2444821731748726,0.4186046511627907,0.1726618705035971,-0.3588236119490943,0.006552549390575146
SKAB,5,7,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.1507148211608481,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.0815972222222222,29,24,46,0.0798611111111111,67,48,93,0.2246489859594383,0.3214285714285714,0.1726618705035971,-0.35682066260286205,0.00702272454730779
SKAB,5,999,4,3,0.01,5,0.1,0.05,10,1.0,0.0,0.0,-0.6280435280142846,10,False,0.5353159851301116,0.5423387096774194,0.5814696485623003,0.4232558139534884,0.9285714285714286,True,recall_constrained,0.6670191689869351,0.5163043478260869,0.1507148211608481,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,24,47,0.0815972222222222,29,24,46,0.0798611111111111,67,48,93,0.2246489859594383,0.3214285714285714,0.1726618705035971,-0.35682066260286205,0.00702272454730779
