dataset,model,balancing_method,ensemble_size,seeds,threshold,val_f1,accuracy,precision,recall,f1
BATADAL,LSTM,adasyn,5,"42,123,2026,7,999",0.12,0.4444444444444444,0.9262394195888755,0.5736434108527132,0.925,0.7081339712918661
BATADAL,GRU,adasyn,5,"42,123,2026,7,999",0.41000000000000003,0.5135135135135135,0.905683192261185,0.53125,0.2125,0.30357142857142855
