dataset,model,balancing_method,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
BATADAL,GRU,adasyn,0.9344619105199516,0.02888673296413061,0.6044189225935102,0.15494955209150546,0.7625,0.3398069304767047,0.6590080713497636,0.24398257104850715
BATADAL,LSTM,adasyn,0.9107617896009673,0.02599617554758991,0.28893606393606397,0.31044128537917215,0.3775,0.5057018637497789,0.30724688898261127,0.4010414908053251
