dataset,model,method,fold,seed,scenario,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,baseline_threshold,high_threshold,low_threshold,hysteresis_width,min_anomaly_run,baseline_selected,validation_selection_mode,validation_recall_constraint_met,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,final_training_scope,inner_splitter,inner_split_id,inner_train_file_count,inner_validation_file_count,test_file_count,sample_count,actual_anomaly_count,raw_predicted_anomaly_count,predicted_anomaly_count,unseen_count,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count,accuracy,precision,recall,f1_score
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,123,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.5,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,123,unseen_data,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,2,0,2,2,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,1.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,2026,original,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,1110,1110,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3560538116591928,0.3567567567567568,0.99,0.5245033112582781
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,2026,original,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,973,828,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3847533632286996,0.3272946859903382,0.6775,0.44136807817589574
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,2026,gaussian_noise,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,1111,1111,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.35515695067264574,0.3564356435643564,0.99,0.5241561879549967
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,2026,gaussian_noise,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,982,836,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3775784753363229,0.3241626794258373,0.6775,0.43851132686084143
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,2026,unseen_data,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,3,0,3,3,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,2026,unseen_data,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,3,0,3,3,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,7,original,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,1110,1110,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3560538116591928,0.3567567567567568,0.99,0.5245033112582781
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,7,original,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,973,828,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3847533632286996,0.3272946859903382,0.6775,0.44136807817589574
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,7,gaussian_noise,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,1108,1108,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.3596412556053812,0.3583032490974729,0.9925,0.5265251989389921
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,7,gaussian_noise,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,980,851,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.38385650224215245,0.33137485311398357,0.705,0.45083932853717024
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,7,unseen_data,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-2.2043674648485996,-2.2043674648485996,0.0,1,True,existing_single_threshold_baseline,True,0.3647342995169082,0.3581907090464548,0.9965986394557823,0.5269784172661871,0.532468566259611,0.5156037991858887,0.01686476707372231,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,3,0,3,3,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,7,unseen_data,4,3,0.01,5,0.1,0.0,-2.2043674648485996,-0.0013683031823821697,-0.0013683031823821697,0.0,12,False,recall_constrained,True,0.5096618357487923,0.4057239057239057,0.8197278911564626,0.5427927927927928,0.5690906382344805,0.5198237885462555,0.04926684968822487,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,3,0,3,3,3,33,16,40,0.15625,28,16,39,0.15234375,61,32,79,0.0,0.0,0.0,0.0
SKAB,dual_alergia_hysteresis,baseline_single_threshold,1,999,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.030764417773082642,0.0,1,True,existing_single_threshold_baseline,True,0.427536231884058,0.3773841961852861,0.9421768707482994,0.5389105058365758,0.5533758983374972,0.5148514851485149,0.03852441318898242,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,921,921,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.38385650224215245,0.34419109663409336,0.7925,0.47993943981831944
SKAB,dual_alergia_hysteresis,dual_threshold_hysteresis,1,999,original,4,3,0.01,10,1.0,0.0,-0.030764417773082642,-0.030764417773082642,-0.04618938246937465,0.01542496469629201,10,False,recall_constrained,True,0.47342995169082125,0.3961988304093567,0.9217687074829932,0.5541922290388548,0.5855694260119442,0.5142045454545454,0.07136488055739881,inner_train_calibrated,StratifiedGroupKFold,1,11,2,3,1115,400,926,805,2,36,25,50,0.08,28,22,44,0.09090909090909091,64,47,94,0.4053811659192825,0.33664596273291925,0.6775,0.44979253112033196
