accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,max_depth,alphabet_size,min_count,smoothing_alpha,num_states,num_transitions,transition_density,selected_threshold,selected_min_context_depth,selected_min_context_count,validation_threshold_f1,selected_smooth_window
0.48484848484848486,0.48484848484848486,1.0,0.6530612244897959,original,SKAB,fold_1_window_analysis,42,12,12,4,2,1.0,8434,9256,0.00013012362475383214,0.5,0,0,,1
0.5359116022099447,0.5175438596491229,0.6704545454545454,0.5841584158415841,original,SKAB,fold_2_window_analysis,42,12,12,4,2,1.0,8030,8844,0.0001371568945222539,0.02,0,0,,1
0.5248618784530387,0.5059760956175299,0.7257142857142858,0.596244131455399,original,SKAB,fold_3_window_analysis,42,12,12,4,2,1.0,7656,8422,0.0001436849851886064,0.02,0,0,,1
0.42016806722689076,0.43359375,0.6416184971098265,0.5174825174825175,original,SKAB,fold_4_window_analysis,42,12,12,4,2,1.0,6933,7634,0.00015882166887621021,0.02,0,0,,1
0.5601092896174863,0.526813880126183,0.9382022471910112,0.6747474747474748,original,SKAB,fold_5_window_analysis,42,12,12,4,2,1.0,9376,10287,0.00011701823477850645,0.005,0,0,,1
