fold,seed,validation_file_count,validation_transition_count,validation_anomaly_count,predicted_block_count,predicted_block_count_feature,true_positive_block_count,false_positive_block_count,true_block_ratio,true_mean_length,false_mean_length,true_mean_margin,false_mean_margin,true_max_margin_mean,false_max_margin_mean
1,42,2,828,294,30,30,6,24,0.2,38.666666666666664,9.875,0.05812373993311896,0.2864947269245173,0.059316708425100194,0.38716992707554826
1,123,2,828,294,30,30,6,24,0.2,38.666666666666664,9.875,0.05812373993311896,0.2864947269245173,0.059316708425100194,0.38716992707554826
1,2026,2,828,294,8,8,3,5,0.375,233.0,23.8,2.1518895438101064,2.1933057872385797,2.77834703414473,2.5829082907940424
1,7,2,828,294,8,8,3,5,0.375,233.0,23.8,2.1518895438101064,2.1933057872385797,2.77834703414473,2.5829082907940424
1,999,2,828,294,30,30,6,24,0.2,38.666666666666664,9.875,0.05812373993311896,0.2864947269245173,0.059316708425100194,0.38716992707554826
2,42,2,828,293,25,25,8,17,0.32,74.125,9.352941176470589,0.1956649798283667,0.13117830087496204,1.330716722258559,0.18281550029348112
2,123,2,828,293,25,25,8,17,0.32,74.125,9.352941176470589,0.1956649798283667,0.13117830087496204,1.330716722258559,0.18281550029348112
2,2026,3,833,299,3,3,3,0,1.0,277.6666666666667,,1.850186399278779,,2.648383738539009,
2,7,3,833,299,3,3,3,0,1.0,277.6666666666667,,1.850186399278779,,2.648383738539009,
2,999,3,832,298,3,3,3,0,1.0,277.3333333333333,,4.216371546553426,,5.480567519316043,
3,42,3,832,299,72,72,24,48,0.3333333333333333,1.875,1.4791666666666667,0.7762229370468564,0.6217214334880884,1.03239674231087,0.6884754674168371
3,123,2,829,294,27,27,8,19,0.2962962962962963,69.75,9.0,0.14439584727963242,0.13762372627597583,0.18053765204684902,0.16889649441289817
3,2026,3,832,298,13,13,5,8,0.38461538461538464,141.8,14.0,2.969100954149998,3.108348941480595,4.201907409057161,4.040046301662056
3,7,2,829,294,27,27,8,19,0.2962962962962963,69.75,9.0,0.14439584727963242,0.13762372627597583,0.18053765204684902,0.16889649441289817
3,999,3,832,299,72,72,24,48,0.3333333333333333,1.875,1.4791666666666667,0.7762229370468564,0.6217214334880884,1.03239674231087,0.6884754674168371
4,42,2,831,295,15,15,4,11,0.26666666666666666,163.0,15.090909090909092,0.5589137286547338,0.5592859366458217,1.1121241760701315,0.8170201689405154
4,123,2,830,295,34,34,7,27,0.20588235294117646,42.285714285714285,5.703703703703703,0.06337384156480727,0.19229714653695118,0.07663728260896889,0.20691555252613283
4,2026,2,832,296,21,21,3,18,0.14285714285714285,67.0,5.0,0.17235248679673895,0.759903042780999,0.3771632348797303,1.0998398029920706
4,7,2,832,296,21,21,3,18,0.14285714285714285,67.0,5.0,0.17235248679673895,0.759903042780999,0.3771632348797303,1.0998398029920706
4,999,2,832,296,21,21,3,18,0.14285714285714285,67.0,5.0,0.17235248679673895,0.759903042780999,0.3771632348797303,1.0998398029920706
5,42,2,830,294,47,47,15,32,0.3191489361702128,31.8,5.375,0.39008697986009816,0.468737337021966,0.9491158212158203,0.9290938575827522
5,123,2,829,294,33,33,4,29,0.12121212121212122,59.5,6.379310344827586,0.07934878908619553,0.5211854260146809,0.17079111187164883,0.6603862114690623
5,2026,2,829,294,33,33,4,29,0.12121212121212122,59.5,6.379310344827586,0.07934878908619553,0.5211854260146809,0.17079111187164883,0.6603862114690623
5,7,2,830,294,47,47,15,32,0.3191489361702128,31.8,5.375,0.39008697986009816,0.468737337021966,0.9491158212158203,0.9290938575827522
5,999,2,830,294,47,47,15,32,0.3191489361702128,31.8,5.375,0.39008697986009816,0.468737337021966,0.9491158212158203,0.9290938575827522
