dataset,model,scenario,accuracy,precision,recall,f1_score,source_file
BATADAL,GRU,original,0.9006119951040391,0.4815458012951835,0.6825,0.5585187185825509,batadal_deep_learning_seed_summary.csv
BATADAL,LSTM,original,0.933170134638923,0.5922474874810223,0.6100000000000001,0.5608504205523348,batadal_deep_learning_seed_summary.csv
SKAB,GRU,original,0.9089375236989904,0.9160998323129664,0.8297364833800945,0.8649397645481881,skab_deep_learning_seed_summary.csv
SKAB,LSTM,original,0.9046863641164624,0.910574039894906,0.8214694056880971,0.858118284029236,skab_deep_learning_seed_summary.csv
BATADAL,Automata,original,0.5756097560975609,0.0652173913043478,0.8571428571428571,0.1212121212121212,automata_advanced_all_scenarios_metrics.csv
SKAB,Automata,original,0.5334751279488219,0.3728562091982703,0.518144479074636,0.4286393101588215,automata_skab_fold_summary.csv
