scenario,pair_count,hysteresis_win_count,baseline_win_count,tie_count,hysteresis_win_rate_all,hysteresis_win_rate_non_tie,f1_difference_mean,f1_difference_median,f1_difference_std,f1_difference_min,f1_difference_max,f1_difference_bootstrap_ci_low,f1_difference_bootstrap_ci_high,precision_difference_mean,recall_difference_mean,accuracy_difference_mean,predicted_anomaly_count_difference_mean,actual_hysteresis_selected_count,baseline_selected_count,selected_hysteresis_test_win_count,selected_hysteresis_test_loss_count,selected_hysteresis_test_tie_count,cohen_dz,wilcoxon_statistic,wilcoxon_p_value,sign_test_p_value,rank_biserial_correlation
original,25,9,16,0,0.36,0.36,0.0013690949401279728,-0.030146908697987473,0.08257630277298851,-0.08313523308238241,0.25409120758122533,-0.026018504378887423,0.03691241602322873,0.01394660879854019,-0.07828150988293248,0.040001570745417776,-107.12,25,0,9,16,0,0.016579755864000935,83.0,0.03228663090339865,0.2295229434967041,-0.48923076923076925
gaussian_noise,25,9,16,0,0.36,0.36,0.0001934696468406072,-0.023304143582935477,0.0770210644952097,-0.08564486109415537,0.2381169060980982,-0.025589343264362508,0.03313957682030379,0.01292894668346678,-0.07976583651517132,0.03896512147688194,-107.32,25,0,9,16,0,0.0025119056469628505,101.0,0.10139739513397217,0.2295229434967041,-0.37846153846153846
