fold,seed,scenario,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,baseline_predicted_anomaly_count,baseline_raw_predicted_anomaly_count,baseline_validation_f1_score,baseline_validation_precision,baseline_validation_recall,hysteresis_accuracy,hysteresis_precision,hysteresis_recall,hysteresis_f1_score,hysteresis_predicted_anomaly_count,hysteresis_raw_predicted_anomaly_count,hysteresis_validation_f1_score,hysteresis_validation_precision,hysteresis_validation_recall,hysteresis_baseline_selected,hysteresis_high_threshold,hysteresis_low_threshold,hysteresis_hysteresis_width,hysteresis_min_anomaly_run,actual_hysteresis_selected,accuracy_difference,precision_difference,recall_difference,f1_score_difference,predicted_anomaly_count_difference,f1_winner
1,7,gaussian_noise,0.3596412556053812,0.3583032490974729,0.9925,0.5265251989389921,1108,1108,0.5269784172661871,0.3581907090464548,0.9965986394557824,0.3838565022421524,0.3313748531139835,0.705,0.4508393285371702,851,980,0.5427927927927928,0.4057239057239057,0.8197278911564626,False,-0.0013683031823821,-0.0013683031823821,0.0,12,True,0.024215246636771215,-0.026928395983489395,-0.2875000000000001,-0.0756858704018219,-257,baseline
1,7,original,0.3560538116591928,0.3567567567567568,0.99,0.5245033112582781,1110,1110,0.5269784172661871,0.3581907090464548,0.9965986394557824,0.3847533632286996,0.3272946859903382,0.6775,0.4413680781758957,828,973,0.5427927927927928,0.4057239057239057,0.8197278911564626,False,-0.0013683031823821,-0.0013683031823821,0.0,12,True,0.028699551569506765,-0.029462070766418602,-0.3125,-0.08313523308238241,-282,baseline
1,42,gaussian_noise,0.3802690582959641,0.3402854006586169,0.775,0.4729214340198321,911,911,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4134529147982063,0.3404522613065326,0.6775,0.4531772575250836,796,914,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.033183856502242204,0.00016686064791571198,-0.09750000000000003,-0.019744176494748522,-115,baseline
1,42,original,0.3838565022421524,0.3441910966340933,0.7925,0.4799394398183194,921,921,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4053811659192825,0.3366459627329192,0.6775,0.4497925311203319,805,926,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.02152466367713013,-0.007545133901174117,-0.11499999999999999,-0.030146908697987473,-116,baseline
1,123,gaussian_noise,0.3829596412556054,0.3417582417582417,0.7775,0.4748091603053435,910,910,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4116591928251121,0.3391959798994975,0.675,0.451505016722408,796,914,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.02869955156950671,-0.002562261858744197,-0.10249999999999992,-0.023304143582935477,-114,baseline
1,123,original,0.3838565022421524,0.3441910966340933,0.7925,0.4799394398183194,921,921,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4053811659192825,0.3366459627329192,0.6775,0.4497925311203319,805,926,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.02152466367713013,-0.007545133901174117,-0.11499999999999999,-0.030146908697987473,-116,baseline
1,999,gaussian_noise,0.379372197309417,0.340958605664488,0.7825,0.4749620637329286,918,918,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4035874439461883,0.3349937733499377,0.6725,0.4472152950955943,803,922,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.02421524663677127,-0.005964832314550306,-0.10999999999999999,-0.027746768637334274,-115,baseline
1,999,original,0.3838565022421524,0.3441910966340933,0.7925,0.4799394398183194,921,921,0.5389105058365758,0.3773841961852861,0.9421768707482994,0.4053811659192825,0.3366459627329192,0.6775,0.4497925311203319,805,926,0.5541922290388548,0.3961988304093567,0.9217687074829932,False,-0.0307644177730826,-0.0461893824693746,0.015424964696292,10,True,0.02152466367713013,-0.007545133901174117,-0.11499999999999999,-0.030146908697987473,-116,baseline
1,2026,gaussian_noise,0.3551569506726457,0.3564356435643564,0.99,0.5241561879549967,1111,1111,0.5269784172661871,0.3581907090464548,0.9965986394557824,0.3775784753363229,0.3241626794258373,0.6775,0.4385113268608414,836,982,0.5427927927927928,0.4057239057239057,0.8197278911564626,False,-0.0013683031823821,-0.0013683031823821,0.0,12,True,0.022421524663677195,-0.0322729641385191,-0.3125,-0.08564486109415537,-275,baseline
1,2026,original,0.3560538116591928,0.3567567567567568,0.99,0.5245033112582781,1110,1110,0.5269784172661871,0.3581907090464548,0.9965986394557824,0.3847533632286996,0.3272946859903382,0.6775,0.4413680781758957,828,973,0.5427927927927928,0.4057239057239057,0.8197278911564626,False,-0.0013683031823821,-0.0013683031823821,0.0,12,True,0.028699551569506765,-0.029462070766418602,-0.3125,-0.08313523308238241,-282,baseline
