fold,method,scenario,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,unseen_count_mean,unseen_count_std
1,baseline_single_threshold,gaussian_noise,0.37147982062780266,0.013018393674734889,0.3475482281486352,0.009004892537057586,0.8634999999999999,0.11665386834563182,0.49467480899041866,0.028018050839618176,2.4,0.5477225575051661
1,baseline_single_threshold,original,0.3727354260089686,0.015228160791623447,0.34921736068315873,0.006882495499125883,0.8714999999999999,0.10817520510727031,0.49776498839430283,0.02440863763742559,2.4,0.5477225575051661
1,baseline_single_threshold,unseen_data,0.3,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.5477225575051661
1,dual_threshold_hysteresis,gaussian_noise,0.39802690582959643,0.01638336986888757,0.33403590941915773,0.0065817036809418155,0.6815,0.01329943607827038,0.4482496449482195,0.005862806302772458,2.4,0.5477225575051661
1,dual_threshold_hysteresis,original,0.39713004484304937,0.011298312845398032,0.33290545203588684,0.005121905213385075,0.6775,0.0,0.4464227499425575,0.004614262912308538,2.4,0.5477225575051661
1,dual_threshold_hysteresis,unseen_data,0.6,0.5477225575051661,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.5477225575051661
2,baseline_single_threshold,gaussian_noise,0.47729729729729725,0.09081331327883314,0.3990836812153439,0.031672697637155876,0.8296482412060302,0.17991949862144543,0.5303160202026159,0.017591309188032554,1.8,0.4472135954999579
2,baseline_single_threshold,original,0.48108108108108105,0.09371534746312322,0.402279894532942,0.034683906204536444,0.835175879396985,0.17454265888085282,0.5344039708443401,0.01467905521502054,2.0,0.0
2,baseline_single_threshold,unseen_data,0.2,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2,dual_threshold_hysteresis,gaussian_noise,0.4827027027027027,0.053546415098690514,0.3904905787143441,0.03594964503375404,0.7869346733668341,0.06643816635593335,0.5219436017752676,0.04660288947534533,1.8,0.4472135954999579
2,dual_threshold_hysteresis,original,0.4812612612612613,0.0607036092124237,0.3903117154404189,0.04050008124364885,0.7909547738693468,0.07156174118157947,0.5226753250422753,0.051934766617158255,2.0,0.0
2,dual_threshold_hysteresis,unseen_data,0.2,0.27386127875258304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,baseline_single_threshold,gaussian_noise,0.4702070207020702,0.10668364057351629,0.3958295337387668,0.04468250515136027,0.8060301507537687,0.16132727367085192,0.52167662800774,0.006719662010422418,1.0,0.0
3,baseline_single_threshold,original,0.4685868586858685,0.09937662221997502,0.39327766766233335,0.03793799621915229,0.8040201005025125,0.16954680038940517,0.5191578162946339,0.0063654961502212825,1.0,0.0
3,baseline_single_threshold,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,dual_threshold_hysteresis,gaussian_noise,0.4943294329432943,0.0675469427307303,0.39041149900137695,0.03448151755780774,0.6914572864321608,0.0782815547759235,0.49542919305751554,0.011058468111813663,1.0,0.0
3,dual_threshold_hysteresis,original,0.4909090909090909,0.0613139041439568,0.3868306637613569,0.026848038125531947,0.685427135678392,0.09694390780015087,0.49042708227322934,0.006554299626269809,1.0,0.0
3,dual_threshold_hysteresis,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,baseline_single_threshold,gaussian_noise,0.45917808219178086,0.03808558617418337,0.40762544691548974,0.014306183210025403,0.9245192307692308,0.04295424883062851,0.565251209530145,0.009853972847308655,2.0,0.0
4,baseline_single_threshold,original,0.4533333333333333,0.03552030111425091,0.4042893329872511,0.012895901088153104,0.91875,0.044856052641531904,0.5609813742430964,0.009013017483451857,2.0,0.0
4,baseline_single_threshold,unseen_data,0.1,0.223606797749979,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
4,dual_threshold_hysteresis,gaussian_noise,0.5167123287671233,0.03983557037843912,0.4354291401558255,0.01698819220086164,0.8951923076923076,0.06011057519272296,0.5848135532709169,0.007060608026891826,2.0,0.0
4,dual_threshold_hysteresis,original,0.5132420091324201,0.04020339854439294,0.4333985633190595,0.016102392059841965,0.8932692307692307,0.06037435606134847,0.5825479370486233,0.003953970002196665,2.0,0.0
4,dual_threshold_hysteresis,unseen_data,0.2,0.447213595499958,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
5,baseline_single_threshold,gaussian_noise,0.4245080500894455,0.04464483379070864,0.33322980377221967,0.05504465122306249,0.6561151079136691,0.37245456551405864,0.42348791239876143,0.14925409968852377,0.0,0.0
5,baseline_single_threshold,original,0.4254025044722719,0.048501371371208815,0.3337923783946955,0.0519520852161098,0.6513189448441248,0.36908882172410473,0.42222909837856737,0.1470992100332829,0.0,0.0
5,baseline_single_threshold,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,dual_threshold_hysteresis,gaussian_noise,0.5057245080500895,0.024377779472068897,0.39759429991708484,0.015077956899816202,0.6258992805755396,0.01704157122728046,0.4859379343119645,0.00788101763515823,0.0,0.0
5,dual_threshold_hysteresis,original,0.5186046511627908,0.035273724633606424,0.40914328369635955,0.02399680232227013,0.6422062350119904,0.010507866810650668,0.4993096285488952,0.014488691528748208,0.0,0.0
5,dual_threshold_hysteresis,unseen_data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
