dataset,fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,min_anomaly_run,min_validation_recall,final_training_scope,selected_threshold,recall_constraint_met,selection_mode,validation_accuracy,validation_precision,validation_recall,validation_f1_score,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count
SKAB,3,999,4,3,0.01,5,0.1,2.0,3,0.7,inner_train_calibrated,0.023053437022547953,True,recall_constrained,0.6634615384615384,0.5236907730673317,0.7023411371237458,0.6,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,22,47,0.09710743801652892,30,18,40,0.12345679012345678,68,40,87
SKAB,4,42,4,3,0.01,10,0.1,0.0,5,0.7,inner_train_calibrated,0.012653297886790427,True,recall_constrained,0.4981949458483754,0.400974025974026,0.8372881355932204,0.5422612513721186,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|9.csv,35,19,41,0.11357340720221606,31,25,53,0.0848,66,44,94
SKAB,4,123,4,3,0.05,10,1.0,0.0,8,0.7,inner_train_calibrated,-0.11973807049218688,True,recall_constrained,0.4975903614457831,0.41260744985673353,0.976271186440678,0.5800604229607251,StratifiedGroupKFold,1,0.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,1.csv|10.csv,35,21,43,0.09750566893424037,31,24,50,0.08680555555555555,66,45,93
SKAB,4,2026,4,3,0.05,10,0.1,0.0,8,0.7,inner_train_calibrated,-0.07591201549612603,True,recall_constrained,0.41586538461538464,0.3782051282051282,0.9966216216216216,0.5483271375464684,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,4,7,4,3,0.05,10,0.1,0.0,8,0.7,inner_train_calibrated,-0.07591201549612603,True,recall_constrained,0.41586538461538464,0.3782051282051282,0.9966216216216216,0.5483271375464684,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,4,999,4,3,0.05,10,0.1,0.0,8,0.7,inner_train_calibrated,-0.07591201549612603,True,recall_constrained,0.41586538461538464,0.3782051282051282,0.9966216216216216,0.5483271375464684,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,5,42,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.6885258629643474,True,recall_constrained,0.4867469879518072,0.4037900874635568,0.9421768707482994,0.5653061224489796,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
SKAB,5,123,4,3,0.01,10,1.0,0.0,4,0.7,inner_train_calibrated,-0.021662718826137198,True,recall_constrained,0.5367913148371531,0.4316109422492401,0.9659863945578231,0.5966386554621849,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,30,52,0.057777777777777775,29,23,46,0.08695652173913043,67,53,98
SKAB,5,2026,4,3,0.01,10,1.0,0.0,4,0.7,inner_train_calibrated,-0.021662718826137198,True,recall_constrained,0.5367913148371531,0.4316109422492401,0.9659863945578231,0.5966386554621849,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,30,52,0.057777777777777775,29,23,46,0.08695652173913043,67,53,98
SKAB,5,7,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.6885258629643474,True,recall_constrained,0.4867469879518072,0.4037900874635568,0.9421768707482994,0.5653061224489796,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
SKAB,5,999,4,3,0.01,10,1.0,0.0,7,0.7,inner_train_calibrated,-0.6885258629643474,True,recall_constrained,0.4867469879518072,0.4037900874635568,0.9421768707482994,0.5653061224489796,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
