dataset,decision_mode,order,smoothing_alpha,score_window,score_threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,avg_negative_log,3,0.1,5,3.912,0.9512195121951219,0.0,0.36363636363636365,0.0,0.5714285714285714,0.0,0.4444444444444445,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.1,5,3.912,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.1,5,3.912,0.9463414634146341,0.0,0.3333333333333333,0.0,0.5714285714285714,0.0,0.42105263157894735,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.5,5,3.912,0.9414634146341463,0.0,0.3076923076923077,0.0,0.5714285714285714,0.0,0.4,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.5,5,3.912,0.9365853658536587,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.38095238095238093,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,4,0.5,5,3.912,0.9365853658536587,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.38095238095238093,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,3,0.1,3,3.912,0.9268292682926831,0.0,0.21428571428571427,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,2,0.1,3,3.912,0.9219512195121953,0.0,0.2,0.0,0.42857142857142855,0.0,0.2727272727272727,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,2,0.5,3,3.912,0.9219512195121953,0.0,0.2,0.0,0.42857142857142855,0.0,0.2727272727272727,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,0.5,3,3.912,0.9219512195121953,0.0,0.2,0.0,0.42857142857142855,0.0,0.2727272727272727,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,0.1,3,3.912,0.9219512195121953,0.0,0.2,0.0,0.42857142857142855,0.0,0.2727272727272727,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,4,0.5,3,3.912,0.9219512195121953,0.0,0.2,0.0,0.42857142857142855,0.0,0.2727272727272727,0.0,0.021832213094349018,618.0,877.0
BATADAL,avg_negative_log,2,1.0,5,3.912,0.8682926829268294,0.0,0.16666666666666666,0.0,0.7142857142857143,0.0,0.2702702702702703,0.0,0.02516722408026756,184.0,301.0
BATADAL,avg_negative_log,3,1.0,5,3.912,0.8585365853658538,0.0,0.15625,0.0,0.7142857142857143,0.0,0.2564102564102564,0.0,0.023245060949978982,366.0,553.0
BATADAL,avg_negative_log,4,1.0,5,3.912,0.8487804878048781,0.0,0.14705882352941177,0.0,0.7142857142857143,0.0,0.24390243902439024,0.0,0.021832213094349018,618.0,877.0
