accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,auto_score_percentile,score_window,max_mapping_distance,entropy_threshold,entropy_mode,entropy_min_total_exits,num_states,vocab_size,num_transitions,transition_density
0.1875,0.07142857142857142,1.0,0.13333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.2048780487804878,0.03571428571428571,0.8571428571428571,0.06857142857142857,original,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.22439024390243903,0.036585365853658534,0.8571428571428571,0.07017543859649122,gaussian_noise,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.1875,0.07142857142857142,1.0,0.13333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.2048780487804878,0.03571428571428571,0.8571428571428571,0.06857142857142857,original,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.2097560975609756,0.03592814371257485,0.8571428571428571,0.06896551724137931,gaussian_noise,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.1875,0.07142857142857142,1.0,0.13333333333333333,unseen_data,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.75,normalized,1,366,65,553,0.023245060949978982
0.25853658536585367,0.03821656050955414,0.8571428571428571,0.07317073170731707,original,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.2731707317073171,0.03896103896103896,0.8571428571428571,0.07453416149068323,gaussian_noise,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.25853658536585367,0.03821656050955414,0.8571428571428571,0.07317073170731707,original,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.28292682926829266,0.039473684210526314,0.8571428571428571,0.07547169811320754,gaussian_noise,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,entropy_threshold_sweep,123,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.25853658536585367,0.03821656050955414,0.8571428571428571,0.07317073170731707,original,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,gaussian_noise,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,entropy_threshold_sweep,2026,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.25853658536585367,0.03821656050955414,0.8571428571428571,0.07317073170731707,original,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.2780487804878049,0.0392156862745098,0.8571428571428571,0.075,gaussian_noise,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,entropy_threshold_sweep,7,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.25853658536585367,0.03821656050955414,0.8571428571428571,0.07317073170731707,original,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.2682926829268293,0.03870967741935484,0.8571428571428571,0.07407407407407407,gaussian_noise,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.5,0.1111111111111111,1.0,0.2,unseen_data,BATADAL,entropy_threshold_sweep,999,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.8,normalized,1,366,65,553,0.023245060949978982
0.33170731707317075,0.04225352112676056,0.8571428571428571,0.08053691275167785,original,BATADAL,entropy_threshold_sweep,42,4,3,3,0.05,0.1,avg_negative_log,3.912,,5,,0.85,normalized,1,366,65,553,0.023245060949978982
