dataset,method,window_size,alphabet_size,num_states,num_transitions,transition_density,selected_k_quantile,selected_k,selected_threshold,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc
BATADAL,raw_transition_surprise,4,3,65,119,0.02816568047337278,,,4.382026634673881,0.6666666666666666,0.15384615384615385,0.25,0.20366913188789698,0.5734997986306887,0.8536585365853658,0.0,0.0,0.0,0.14573026356286373,0.5366222760290557
BATADAL,transition_surprise_cusum,4,3,65,119,0.02816568047337278,0.7,4.204692619390966,0.17733401528291548,0.6666666666666666,0.15384615384615385,0.25,0.18604637884930647,0.5265807490938381,0.8341463414634146,0.0,0.0,0.0,0.1279731414339074,0.45480225988700557
