dataset,fold,seed,window_size,alphabet_size,merge_alpha,min_state_count,smoothing_alpha,distance_penalty,baseline_threshold,high_threshold,low_threshold,hysteresis_width,min_anomaly_run,baseline_selected,validation_selection_mode,validation_recall_constraint_met,validation_accuracy,validation_precision,validation_recall,validation_f1_score,validation_mean_file_f1,validation_min_file_f1,validation_std_file_f1,inner_splitter,inner_split_id,inner_train_files,inner_validation_files,normal_states_before,normal_states_after,normal_transition_count,normal_transition_density,anomaly_states_before,anomaly_states_after,anomaly_transition_count,anomaly_transition_density,total_states_before,total_states_after,total_transition_count
SKAB,3,123,4,3,0.05,2,0.1,0.0,-0.0948659230424429,0.01187085279540788,-0.0948659230424429,0.10673677583785078,5,False,recall_constrained,True,0.4378769601930036,0.38283378746594005,0.95578231292517,0.546692607003891,0.5643162127430253,0.5225718194254446,0.04174439331758073,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,18,39,0.12037037037037036,31,11,30,0.24793388429752067,67,29,69
SKAB,3,2026,4,3,0.01,10,0.1,0.0,-3.0803471642415685,0.05289948598744899,-3.0803471642415685,3.1332466502290175,5,False,recall_constrained,True,0.5588942307692307,0.44651162790697674,0.9664429530201343,0.6108165429480382,0.6319258205788072,0.5416666666666666,0.09129684182557765,StratifiedGroupKFold,5,0.csv|1.csv|10.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv,13.csv|4.csv|8.csv,38,27,55,0.07544581618655692,28,23,50,0.0945179584120983,66,50,105
SKAB,3,7,4,3,0.05,2,0.1,0.0,-0.0948659230424429,0.01187085279540788,-0.0948659230424429,0.10673677583785078,5,False,recall_constrained,True,0.4378769601930036,0.38283378746594005,0.95578231292517,0.546692607003891,0.5643162127430253,0.5225718194254446,0.04174439331758073,StratifiedGroupKFold,1,0.csv|10.csv|13.csv|14.csv|15.csv|3.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|11.csv,36,18,39,0.12037037037037036,31,11,30,0.24793388429752067,67,29,69
SKAB,3,999,4,3,0.01,5,0.1,2.0,0.023053437022547953,0.0675430080002492,-0.3115875933053355,0.3791306013055847,6,False,recall_constrained,True,0.8485576923076923,0.8473895582329317,0.705685618729097,0.7700729927007299,0.68585576933007,0.2830188679245283,0.2849229137372638,StratifiedGroupKFold,5,0.csv|1.csv|11.csv|14.csv|15.csv|3.csv|5.csv|6.csv|7.csv|8.csv,10.csv|13.csv|4.csv,38,22,47,0.09710743801652892,30,18,40,0.12345679012345678,68,40,87
SKAB,4,42,4,3,0.01,10,0.1,0.0,-0.6256956726897647,-0.6256956726897647,-0.6256956726897647,0.0,10,False,recall_constrained,True,0.40794223826714804,0.37420178799489145,0.9932203389830508,0.5435992578849722,0.5593423305830649,0.516914749661705,0.0424275809213599,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv,1.csv|9.csv,35,19,41,0.11357340720221606,31,25,53,0.0848,66,44,94
SKAB,4,123,4,3,0.05,10,1.0,0.0,-0.035899747519093625,-0.035899747519093625,-0.08036654187325754,0.04446679435416391,8,False,recall_constrained,True,0.5096385542168674,0.4186046511627907,0.976271186440678,0.5859613428280773,0.6522234201725048,0.5190217391304348,0.13320168104207003,StratifiedGroupKFold,1,0.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|6.csv|7.csv|8.csv|9.csv,1.csv|10.csv,35,21,43,0.09750566893424037,31,24,50,0.08680555555555555,66,45,93
SKAB,4,2026,4,3,0.05,10,0.1,0.0,-0.07521059511480811,-0.004592201341570089,-0.07521059511480811,0.07061839377323803,8,False,recall_constrained,True,0.4495192307692308,0.39228723404255317,0.9966216216216216,0.5629770992366412,0.5921323161852601,0.5197278911564626,0.07240442502879746,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,4,7,4,3,0.05,10,0.1,0.0,-0.07521059511480811,-0.004592201341570089,-0.07521059511480811,0.07061839377323803,8,False,recall_constrained,True,0.4495192307692308,0.39228723404255317,0.9966216216216216,0.5629770992366412,0.5921323161852601,0.5197278911564626,0.07240442502879746,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,4,999,4,3,0.05,10,0.1,0.0,-0.07521059511480811,-0.004592201341570089,-0.07521059511480811,0.07061839377323803,8,False,recall_constrained,True,0.4495192307692308,0.39228723404255317,0.9966216216216216,0.5629770992366412,0.5921323161852601,0.5197278911564626,0.07240442502879746,StratifiedGroupKFold,1,0.csv|10.csv|11.csv|12.csv|14.csv|2.csv|4.csv|5.csv|7.csv|8.csv|9.csv,1.csv|6.csv,35,23,53,0.1001890359168242,30,20,49,0.1225,65,43,102
SKAB,5,42,4,3,0.01,10,1.0,0.0,-0.7650769117202065,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,False,recall_constrained,True,0.5132530120481927,0.4181547619047619,0.95578231292517,0.5817805383022774,0.6538043478260869,0.5163043478260869,0.1375,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
SKAB,5,123,4,3,0.01,10,1.0,0.0,-0.021662718826137198,-0.021662718826137198,-0.5560204558814213,0.5343577370552841,12,False,recall_constrained,True,0.5367913148371531,0.4330357142857143,0.9897959183673469,0.6024844720496895,0.6838959752744908,0.5200553250345782,0.16384065023991257,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,30,52,0.057777777777777775,29,23,46,0.08695652173913043,67,53,98
SKAB,5,2026,4,3,0.01,10,1.0,0.0,-0.021662718826137198,-0.021662718826137198,-0.5560204558814213,0.5343577370552841,12,False,recall_constrained,True,0.5367913148371531,0.4330357142857143,0.9897959183673469,0.6024844720496895,0.6838959752744908,0.5200553250345782,0.16384065023991257,StratifiedGroupKFold,1,0.csv|1.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv|9.csv,10.csv|2.csv,38,30,52,0.057777777777777775,29,23,46,0.08695652173913043,67,53,98
SKAB,5,7,4,3,0.01,10,1.0,0.0,-0.7650769117202065,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,False,recall_constrained,True,0.5132530120481927,0.4181547619047619,0.95578231292517,0.5817805383022774,0.6538043478260869,0.5163043478260869,0.1375,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
SKAB,5,999,4,3,0.01,10,1.0,0.0,-0.7650769117202065,-0.2641515750415868,-0.8570437002377901,0.5928921251962033,8,False,recall_constrained,True,0.5132530120481927,0.4181547619047619,0.95578231292517,0.5817805383022774,0.6538043478260869,0.5163043478260869,0.1375,StratifiedGroupKFold,1,0.csv|1.csv|10.csv|12.csv|13.csv|14.csv|15.csv|3.csv|4.csv|8.csv,2.csv|9.csv,38,30,52,0.057777777777777775,29,22,46,0.09504132231404959,67,52,98
