dataset,scenario,order,smoothing_alpha,decision_mode,score_window,score_threshold,max_mapping_distance,dirichlet_smoothing_enabled,dirichlet_alpha,dirichlet_prior_mode,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,transition_density_mean,num_states_mean,num_transitions_mean
BATADAL,original,3,0.1,avg_negative_log,5,5.0,,True,10.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.0,,True,15.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.0,,True,20.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.0,,True,30.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,5.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,7.5,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,10.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,15.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,20.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.3,,True,30.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,5.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,7.5,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,10.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,15.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,20.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
BATADAL,original,3,0.1,avg_negative_log,5,5.6,,True,30.0,uniform,0.9658536585365853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023245060949978982,366.0,553.0
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,30.0,uniform,0.5923532042545071,0.15029831954811795,0.49570633856912294,0.19829670526147222,0.6045006811143315,0.31370423809119513,0.49407840798072533,0.18268859044387525,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,False,5.0,uniform,0.5935947485217268,0.15006059394817725,0.4950645274395452,0.19958569518754776,0.5974993593709961,0.3156314203728574,0.4910609434834873,0.18643429075571938,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,20.0,uniform,0.5927105752237604,0.15017101765854543,0.4945683283350986,0.19969263089154196,0.5980006125038281,0.3162899433346284,0.49069042012846836,0.18615996597837084,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,30.0,uniform,0.593594020851516,0.14951253790400834,0.49457984765888563,0.19896760523835552,0.5954968468552928,0.3158087961526592,0.489908958678432,0.1866594653766745,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,15.0,uniform,0.5941326422914662,0.1495679336414111,0.49502326503973726,0.19914287758081364,0.5939930874567966,0.3154331934906204,0.4896946010217251,0.18676265957563837,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,False,5.0,uniform,0.5957365964496728,0.14902707134527862,0.4966867877874017,0.20167895085315635,0.5890055003142277,0.3154992252292039,0.4882629979353559,0.1883273475180393,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,10.0,uniform,0.5948399809298394,0.14932394278310848,0.496236973442777,0.201218170871332,0.5895067534470598,0.31489883167474136,0.48812702180765355,0.187466827867688,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,20.0,uniform,0.5948380845796025,0.1491155972481985,0.4961132640308497,0.20105688609018568,0.5895067534470598,0.31489883167474136,0.4880764478689374,0.1873657109751418,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,7.5,uniform,0.5953765104095647,0.14807995777953453,0.4957824959743272,0.20090426443845372,0.5845042035244064,0.3134751723400769,0.48609944206625016,0.18771465337983798,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,15.0,uniform,0.595022945649959,0.1487291105499809,0.4951772588487165,0.20165281145909303,0.5840054504071993,0.31660050548693663,0.485079943350706,0.18969286755980555,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,30.0,uniform,0.5966373546293883,0.14695064496751215,0.4956520351764509,0.20019005320285987,0.5800079067658352,0.3154059010764328,0.48382377265690657,0.1901591571292676,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.2231,,True,5.0,uniform,0.5960986286298573,0.14681851670073948,0.4950178722985972,0.2006388601476487,0.5774954003910285,0.3116041824521003,0.4831004786277605,0.1890298693584836,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,10.0,uniform,0.5953812761800767,0.14674765075207657,0.49424683973955325,0.2010243896107499,0.5765003755154067,0.3126676989191295,0.4820767784639719,0.1890899644509615,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,7.5,uniform,0.5968066038880339,0.14666601529402393,0.49512407584229196,0.20116556733035884,0.5725040725534385,0.3106726427024475,0.4813121130259833,0.19003362683706035,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.3,,True,5.0,uniform,0.598783954818673,0.14468210866902728,0.4971391005000221,0.20201752749481092,0.5675015226307851,0.3085602383525375,0.4801251312035695,0.1896906347173011,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,20.0,uniform,0.5964564270997524,0.14542143893690973,0.4950045489423283,0.20252252243842722,0.5695027944670923,0.31285457908935965,0.47903110427583784,0.1902296303468015,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,False,5.0,uniform,0.596641288170109,0.14469043480630833,0.4949418025981754,0.2015956249286038,0.5660139853486025,0.31182362127599045,0.4773420539545121,0.190461406650023,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,15.0,uniform,0.5973586406198895,0.14496043687430452,0.4954558647083024,0.20242980073925396,0.5650114790829384,0.3123112243375504,0.4772837960006568,0.1914591794503716,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,30.0,uniform,0.5987685656352971,0.14623594557710043,0.4966612014424068,0.20493253000166547,0.5615077071843639,0.31502797998523,0.4758698720711824,0.19516082855245484,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,10.0,uniform,0.5991461826088454,0.14359875459926513,0.49723489556810263,0.20377074034268308,0.5590101635896418,0.30929096758208613,0.4757134481747595,0.19154368096341623,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,20.0,uniform,0.6016351422948099,0.14441221871354823,0.4994688806608437,0.20814300507775021,0.5525113356585344,0.3110792208457909,0.47387780647923483,0.1954526737553666,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,7.5,uniform,0.5996937900204236,0.1414488541286716,0.49679640744960807,0.2027929943494696,0.5540076136669884,0.3072542071530028,0.4735456089927309,0.19087753967492546,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,False,5.0,uniform,0.6018169383349032,0.14395941558463357,0.49924260313775826,0.20807290886559196,0.5505163045328735,0.31152420139070525,0.4727332857319385,0.19615808337506402,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.4,,True,5.0,uniform,0.6011191177283807,0.14139478485735424,0.4967673696148662,0.2037286324999417,0.5484963292214606,0.30654941053565254,0.4716661008002642,0.19323392100706432,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,15.0,uniform,0.6018234958960714,0.14268474191255565,0.49809851453514825,0.20803527243226416,0.5445075076495347,0.31088998789550326,0.46963131272670094,0.1964646047122673,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,10.0,uniform,0.6030898200474443,0.14140136305996423,0.49958146510711926,0.20973337863944888,0.5355011733748709,0.3061589477881674,0.4663820624116163,0.19678400940016755,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.5,,True,7.5,uniform,0.6057690296849071,0.1401648281586822,0.5015670708644311,0.21029289736560836,0.5299948889605933,0.3053971017003671,0.4646242102004608,0.19924135204634194,0.05091218372849919,233.6,423.2
SKAB,original,3,0.5,avg_negative_log,10,0.7,,True,30.0,uniform,0.6037767035623607,0.1426859791522666,0.5015057928493075,0.21797679161157363,0.5204997643175568,0.3059167360819609,0.4590188198144296,0.201755220390889,0.05091218372849919,233.6,423.2
