accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,order,anomaly_threshold,smoothing_alpha,decision_mode,score_threshold,score_window,num_states,vocab_size,num_transitions,transition_density
0.1024390243902439,0.03664921465968586,1.0,0.0707070707070707,gaussian_noise,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.06999720264119036,1.0,avg_negative_log,2.6593,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,7,4,3,2,0.06999720264119036,1.0,avg_negative_log,2.6593,3,184,65,301,0.02516722408026756
0.08292682926829269,0.035897435897435895,1.0,0.06930693069306931,original,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06999720264119036,1.0,avg_negative_log,2.6593,3,184,65,301,0.02516722408026756
0.09268292682926829,0.03626943005181347,1.0,0.07,gaussian_noise,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06999720264119036,1.0,avg_negative_log,2.6593,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,999,4,3,2,0.06999720264119036,1.0,avg_negative_log,2.6593,3,184,65,301,0.02516722408026756
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.12682926829268293,0.03763440860215054,1.0,0.07253886010362694,gaussian_noise,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,42,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.11707317073170732,0.02717391304347826,0.7142857142857143,0.05235602094240838,gaussian_noise,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,123,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.0975609756097561,0.036458333333333336,1.0,0.07035175879396985,original,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.11219512195121951,0.037037037037037035,1.0,0.07142857142857142,gaussian_noise,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
0.375,0.09090909090909091,1.0,0.16666666666666666,unseen_data,BATADAL,avg_negative_log_window_sweep,2026,4,3,2,0.06000064300904766,1.0,avg_negative_log,2.8134,3,184,65,301,0.02516722408026756
