accuracy,precision,recall,f1_score,scenario,dataset,fold,seed,window_size,alphabet_size,min_count,smoothing_alpha,num_states,num_transitions,transition_density,selected_threshold,validation_threshold_f1
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,1,0.01,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,1,0.05,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,1,0.1,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,1,0.5,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,1,1.0,2111,2681,0.000601617343095347,0.005,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,2,0.01,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,2,0.05,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,2,0.1,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.1796875,0.92,0.3006535947712418,original,BATADAL,regularization_search,42,6,4,2,0.5,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,2,1.0,2111,2681,0.000601617343095347,0.005,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,3,0.01,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,3,0.05,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,3,0.1,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,3,0.5,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.21052631578947367,0.19230769230769232,1.0,0.3225806451612903,original,BATADAL,regularization_search,42,6,4,3,1.0,2111,2681,0.000601617343095347,0.005,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,5,0.01,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,5,0.05,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,5,0.1,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.18604651162790697,0.96,0.3116883116883117,original,BATADAL,regularization_search,42,6,4,5,0.5,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.21052631578947367,0.19230769230769232,1.0,0.3225806451612903,original,BATADAL,regularization_search,42,6,4,5,1.0,2111,2681,0.000601617343095347,0.005,0.16551724137931034
0.19548872180451127,0.18461538461538463,0.96,0.3096774193548387,original,BATADAL,regularization_search,42,6,4,10,0.01,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.18461538461538463,0.96,0.3096774193548387,original,BATADAL,regularization_search,42,6,4,10,0.05,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.18461538461538463,0.96,0.3096774193548387,original,BATADAL,regularization_search,42,6,4,10,0.1,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.19548872180451127,0.18461538461538463,0.96,0.3096774193548387,original,BATADAL,regularization_search,42,6,4,10,0.5,2111,2681,0.000601617343095347,0.001,0.16551724137931034
0.20300751879699247,0.19083969465648856,1.0,0.32051282051282054,original,BATADAL,regularization_search,42,6,4,10,1.0,2111,2681,0.000601617343095347,0.005,0.16551724137931034
